 time, distance, velocity_smooth, altitude, grade_smooth
    0,        0,               0,    883.9,          0.9
    1,      5.6,               0,      884,          1.2
    2,     11.2,               0,      884,          0.8
    3,     16.7,            5.58,    884.1,          0.7
    4,     23.6,           5.905,    884.1,          0.7
    5,     33.1,           6.614,    884.2,            0
    6,     41.7,           7.214,    884.2,            0
    7,     52.5,           8.258,    884.1,         -0.5
    8,     62.4,           9.128,    884.1,         -0.7
    9,     73.4,            9.96,      884,         -0.7
   10,       85,          10.382,    883.9,         -0.7
   11,     96.6,           10.98,    883.8,         -0.4
   12,    108.1,          11.126,    883.8,            0
   13,    119.9,          11.508,    883.8,          0.2
   14,      132,          11.714,    883.9,          0.4
   15,    144.4,           11.89,    883.9,          0.6
   16,    157.6,          12.212,      884,          0.6
   17,    170.8,          12.546,    884.1,          0.7
   18,    184.6,          12.926,    884.2,          0.9
   19,    198.4,          13.292,    884.3,          0.9
   20,    212.5,           13.61,    884.5,          1.1
   21,    226.6,          13.806,    884.6,          1.2
   22,    240.7,          13.982,    884.8,          1.3
   23,    254.6,          14.012,      885,          1.3
   24,    268.4,          13.998,    885.2,          1.3
   25,      282,          13.908,    885.3,          1.1
   26,    296.1,          13.898,    885.5,          0.9
   27,    309.9,          13.834,    885.6,          0.9
   28,    323.8,           13.84,    885.7,          0.7
   29,    337.9,          13.898,    885.8,          0.5
   30,    351.9,          13.968,    885.9,          0.4
   31,    366.2,          14.014,    885.9,          0.2
   32,    380.9,          14.196,    885.9,         -0.2
   33,    395.6,          14.362,    885.9,         -0.2
   34,    410.3,           14.48,    885.8,         -0.5
   35,    424.1,          14.456,    885.8,         -0.7
   36,    437.4,          14.238,    885.6,           -1
   37,    453.8,          14.576,    885.5,         -1.5
   38,    468.3,           14.54,    885.2,         -1.6
   39,    483.5,          14.644,    884.9,           -2
   40,    498.9,          14.954,    884.6,         -1.8
   41,    514.7,          15.454,    884.3,         -1.4
   42,    530.5,          15.358,    884.1,         -0.6
   43,    546.3,          15.586,      884,          0.2
   44,    561.8,          15.644,    884.2,          0.8
   45,    577.6,           15.74,    884.4,          1.4
   46,    593.3,           15.73,    884.6,          1.6
   47,    608.9,           15.67,    884.9,          1.8
   48,    624.3,          15.606,    885.2,          1.9
   49,    640.3,          15.698,    885.5,          2.1
   50,    655.9,          15.666,    885.8,          2.1
   51,    671.6,          15.656,    886.2,          2.3
   52,    686.8,           15.59,    886.5,          2.5
   53,    701.7,          15.482,    886.9,          2.4
   54,    716.5,          15.248,    887.3,          2.6
   55,    730.4,            14.9,    887.6,          2.7
   56,    743.8,          14.434,      888,          2.8
   57,    760.5,          14.722,    888.5,            3
   58,    774.6,          14.588,    888.9,          3.1
   59,    790.1,           14.72,    889.4,          3.3
   60,    804.1,          14.736,    889.9,          3.4
   61,    817.4,          14.728,    890.4,          3.4
   62,    830.1,          13.924,    890.8,          3.3
