 time, distance, watts, cadence, velocity_smooth, altitude,    altitude_smooth, grade_smooth
    0,        0,     0,       0,               0,    261.4, 261.40000000000003,            0
    1,        0,     0,       0,               0,    261.4, 261.40000000000003,            0
    2,        0,     0,       0,               0,    261.4, 261.40000000000003,            0
    3,        0,     0,       0,               0,    261.4,  261.4166666666667,            0
    4,        0,     0,       0,               0,    261.4,  261.4307692307693,            0
    5,        0,     0,       0,               0,    261.4,  261.4428571428572,            0
    6,        0,     0,       0,               0,    261.4,  261.4533333333333,         13.3
    7,        0,     0,       0,               0,    261.4,  261.4533333333333,            0
    8,        0,     0,       0,               0,    261.4,  261.4533333333333,            0
    9,        0,     0,       0,               0,    261.4,  261.4533333333333,            0
   10,        0,     0,       0,               0,    261.4,  261.4533333333333,            0
   11,      1.5,     0,       0,             0.3,    261.6,  261.4533333333333,            0
   12,      3.3,    20,      25,            0.66,    261.6,  261.4533333333333,            0
   13,        6,    68,      25,             1.2,    261.6,  261.4533333333333,         -1.8
   14,      8.9,    96,      44,            1.78,    261.6,             261.44,         -1.6
   15,     12.5,   195,     113,             2.5,    261.4,  261.4266666666666,         -1.3
   16,     16.2,   213,      78,            2.94,    261.4,  261.4133333333333,         -1.1
   17,     21.1,   140,      84,            3.56,    261.4,  261.3999999999999,            0
   18,     26.3,   153,      74,            4.06,    261.4,  261.4133333333333,            0
   19,     31.6,    91,      62,            4.54,    261.4, 261.45333333333326,            0
   20,     36.2,    51,      61,            4.74,    261.4,  261.5066666666666,         -0.9
   21,       43,    65,      64,            5.36,    261.4, 261.58666666666664,         -0.9
   22,     49.2,    65,      64,            5.62,    261.2,  261.6933333333333,         -0.9
   23,     53.8,    43,      64,             5.5,    261.2,  261.8133333333333,         -0.9
   24,     58.7,    26,      30,            5.42,    261.2,  261.9466666666666,          2.7
   25,     64.4,     0,       2,            5.64,    261.2, 262.13333333333327,          4.7
   26,     71.1,    54,      58,            5.62,    261.8, 262.35999999999996,          5.9
   27,     74.9,   107,      63,            5.14,    262.2,  262.6266666666666,            8
   28,     79.2,   138,      65,            5.08,    262.4,  262.9066666666666,          6.2
   29,     84.5,    75,      65,            5.16,    262.8, 263.19999999999993,          5.2
   30,     90.4,    55,      65,             5.2,      263, 263.47999999999996,          5.6
   31,     94.2,    45,      48,            4.62,    263.2,  263.7466666666666,          7.7
   32,     97.2,     0,       0,            4.46,    263.4, 263.99999999999994,         11.4
   33,    102.8,     0,       0,            4.72,    264.2,  264.1733333333333,         14.8
   34,    106.2,     0,       0,            4.34,    264.8,             264.28,         15.1
   35,    109.1,     0,       0,            3.74,    265.4, 264.35999999999996,           12
   36,    111.8,     2,      25,            3.52,    265.6,              264.4,          5.3
   37,    114.5,     5,      43,            3.46,    265.6,  264.4133333333333,         -1.7
   38,    117.6,     8,      42,            2.96,    265.4,  264.4133333333333,         -4.4
   39,    121.1,    11,      50,            2.98,    265.2,  264.3999999999999,         -8.1
   40,    125.3,    22,      63,            3.24,      265,  264.3733333333333,         -9.5
   41,    129.4,    27,      67,            3.52,    264.4,  264.3066666666666,         -8.5
   42,    134.5,    25,      74,               4,    263.8,  264.2133333333333,         -7.7
   43,      140,    54,      74,            4.48,    263.6,  264.1333333333333,         -5.3
   44,    146.1,    44,      45,               5,    263.4,  264.0933333333333,         -2.6
   45,    152.2,    18,      23,            5.38,    263.2, 264.05333333333334,         -1.7
   46,    157.9,     5,      23,             5.7,    263.2,  263.9866666666666,          1.8
   47,    163.1,     0,       0,            5.72,    263.2,  263.8533333333333,          2.9
   48,      168,     0,       0,             5.6,    263.8,  263.6933333333333,            4
   49,    172.9,     0,       0,            5.36,    263.8,  263.5333333333333,          6.2
   50,    177.7,     8,      58,             5.1,      264, 263.34666666666664,          5.8
   51,    182.5,    51,      67,            4.92,    264.4, 263.15999999999997,          4.6
   52,    188.6,   125,      73,             5.1,      265,  262.9866666666666,          0.9
   53,    194.6,   203,      79,            5.32,    264.8,              262.8,         -5.9
   54,    200.4,   236,      83,             5.5,    264.2, 262.61333333333334,        -11.8
   55,    206.1,   174,      85,            5.68,      263, 262.37333333333333,        -12.3
   56,    214.1,   115,      73,            6.32,      262,  262.1333333333333,        -11.8
   57,    222.2,   107,      77,            6.72,    261.4, 261.87999999999994,         -7.5
   58,    229.1,   110,      79,             6.9,    260.8, 261.58666666666664,         -4.2
   59,      238,    74,      81,            7.52,    260.6, 261.22666666666663,         -2.9
   60,    247.6,    80,      71,             8.3,    260.6,  260.8666666666666,         -1.1
   61,    256.6,   112,      67,             8.5,    260.4,  260.5066666666666,         -1.1
   62,    265.3,   120,      78,            8.62,    260.4,  260.2133333333333,         -1.1
   63,    274.6,    82,      78,             9.1,    260.2,  259.9599999999999,         -0.5
   64,    283.8,    57,      57,            9.16,    260.2, 259.71999999999997,         -1.1
   65,    293.3,    75,      82,            9.14,    260.2,  259.4799999999999,         -1.6
   66,    303.3,   121,      83,            9.34,      260, 259.22666666666663,         -2.1
   67,    312.9,   144,      80,            9.52,    259.6,  258.9333333333333,         -3.6
   68,    322.2,   131,      72,            9.52,    259.4,  258.6133333333333,         -3.6
