 time, distance, cadence, velocity_smooth, altitude,    altitude_smooth, grade_smooth
   19,    260.3,      72,           14.53,     73.8,  73.82222222222221,            0
   20,    275.2,      91,          14.622,     73.8,  73.82999999999998,            0
   21,    286.5,      94,           13.76,     73.8,  73.83636363636361,          0.2
   22,    303.1,      94,          13.586,     73.8,  73.84166666666665,          0.2
   23,      318,      95,          14.244,     73.9,  73.85384615384613,            0
   24,    332.5,      96,          14.422,     73.9,  73.85714285714285,            0
   25,    349.1,      96,          14.792,     73.8,  73.85999999999999,         -0.2
   26,    363.5,      96,          15.408,     73.8,  73.87999999999998,            0
   27,    377.8,      97,          14.942,     73.8,  73.91333333333333,          0.2
   28,    392.3,      96,          14.848,     73.9,  73.95333333333333,          0.2
   29,    404.2,      80,          14.342,     73.9,  74.00666666666666,          0.3
   30,    418.6,      92,          13.906,     73.9,  74.06666666666665,            0
   31,      436,      93,          14.502,       74,  74.13999999999997,            0
   32,    450.1,      90,          14.452,     73.9,  74.23333333333332,          0.3
   33,      461,     100,          13.756,     73.9,  74.33999999999999,          0.5
   34,    477.3,     100,           14.63,     74.1,              74.46,            1
   35,    491.1,      94,          14.488,     74.3,  74.59333333333332,          1.2
   36,    502.4,      93,          13.278,     74.4,  74.74666666666666,          1.3
   37,    519.5,      93,          13.878,     74.6,  74.91333333333333,          1.3
   38,    531.1,      93,          14.012,     74.8,  75.07999999999998,          1.4
   39,    544.7,      91,          13.472,       75,  75.26666666666665,          1.5
   40,    558.4,      91,          13.456,     75.2,  75.45999999999998,          1.5
   41,    571.9,      91,          13.898,     75.4,  75.63999999999997,          1.7
   42,    585.3,      90,          13.178,     75.6,  75.80666666666664,          1.8
   43,    599.1,      90,          13.606,     75.9,  75.96666666666664,          1.7
   44,    615.3,      90,          14.126,     76.2,  76.10666666666664,          1.6
   45,    629.4,      91,          14.212,     76.4,  76.23333333333332,          1.4
   46,    640.6,      92,          13.726,     76.5,  76.34666666666665,          1.1
   47,    654.3,      93,          13.794,     76.7,  76.43999999999998,          0.8
   48,    668.8,      93,          13.928,     76.8,  76.51999999999997,          0.5
   49,    682.7,      95,           13.48,     76.8,  76.58666666666663,          0.2
   50,      697,      96,          13.518,     76.8,  76.62666666666662,         -0.2
   51,    711.3,      96,          14.144,     76.8,  76.62666666666662,         -0.2
   52,      726,      93,           14.34,     76.7,  76.59999999999995,         -0.2
   53,    740.4,      92,          14.326,     76.7,  76.55333333333328,         -0.3
   54,    758.1,      94,          15.076,     76.7,  76.48666666666662,         -0.2
   55,    770.6,      95,          14.718,     76.6,  76.39333333333329,         -0.2
   56,    785.6,      95,          14.866,     76.6,  76.27999999999996,         -0.3
   57,    803.8,      93,          15.562,     76.6,  76.14666666666662,         -0.7
   58,    816.4,      84,            15.2,     76.5,   75.9933333333333,           -1
   59,    831.3,      94,          14.638,     76.2,  75.83333333333329,         -1.4
   60,    846.5,      94,          15.174,       76,  75.65333333333328,         -1.3
   61,    861.6,      95,          15.196,     75.8,  75.45333333333329,         -1.2
   62,    876.7,      95,          14.566,     75.7,  75.23999999999997,         -1.5
   63,    895.4,      94,          15.802,     75.4,  75.00666666666663,         -1.6
   64,    908.5,      90,          15.454,     75.1,   74.7533333333333,         -1.8
   65,    924.4,      91,           15.58,     74.8,  74.49999999999997,         -1.8
   66,    943.6,      91,          16.408,     74.5,   74.2533333333333,         -1.7
   67,    957.3,      93,          16.124,     74.3,  74.01999999999997,         -1.7
   68,    973.2,      93,          15.564,       74,  73.79999999999997,         -1.7
   69,    988.6,      94,          16.014,     73.7,  73.59333333333329,         -1.8
   70,   1006.7,      96,          16.464,     73.4,  73.41333333333328,         -1.7
