 time, distance, cadence, velocity_smooth, altitude,    altitude_smooth, grade_smooth
   47,    175.9,      70,               4,   2028.4, 2029.6000000000001,          7.7
   48,    179.7,      71,            3.96,   2028.7,            2029.75,          7.6
   49,    183.6,      70,            3.92,     2029,  2029.890909090909,          7.5
   50,    187.7,      71,            3.92,   2029.3,  2030.033333333333,          7.3
   51,    191.9,      72,            3.98,   2029.6, 2030.1692307692306,          7.1
   52,    196.2,      74,            4.06,   2029.9, 2030.2999999999997,          7.1
   53,    200.4,      73,            4.14,   2030.2, 2030.4199999999996,          7.1
   54,    204.6,      75,             4.2,   2030.5,  2030.673333333333,          7.1
   55,    208.8,      76,            4.22,   2030.8, 2030.9199999999996,          6.7
   56,      213,      77,            4.22,   2031.1,  2031.153333333333,          7.1
   57,    216.7,      76,             4.1,   2031.3, 2031.3799999999999,          6.6
   58,    220.2,      76,            3.96,   2031.6, 2031.5933333333332,          6.2
   59,    223.9,      70,            3.86,   2031.8, 2031.7999999999997,          5.2
   60,    227.5,      72,            3.74,     2032, 2031.9933333333329,          3.7
   61,      232,      75,             3.8,   2032.1, 2032.1799999999996,          3.4
   62,    236.6,      79,            3.98,   2032.2, 2032.3599999999997,          2.7
   63,    241.4,      81,            4.24,   2032.4,  2032.533333333333,          3.1
   64,    246.2,      83,            4.46,   2032.5, 2032.7066666666665,          3.1
   65,    251.1,      83,            4.72,   2032.7,            2032.88,          3.2
   66,    255.8,      85,            4.76,   2032.8, 2033.0533333333335,          3.2
   67,    260.4,      85,            4.76,     2033, 2033.2266666666667,          3.2
   68,      265,      85,            4.72,   2033.1, 2033.4066666666668,          3.8
   69,    269.9,      84,            4.74,   2033.3,             2033.6,          3.8
   70,    274.3,      81,            4.64,   2033.5, 2033.7933333333333,          4.3
   71,    278.9,      81,            4.62,   2033.7,  2033.993333333333,            5
   72,    283.4,      81,             4.6,   2033.9, 2034.1999999999998,            5
   73,    287.9,      78,            4.58,   2034.2, 2034.4133333333332,          5.2
   74,    292.2,      77,            4.46,   2034.4, 2034.6266666666666,          5.3
   75,    296.3,      76,             4.4,   2034.6, 2034.8533333333332,          5.4
   76,    300.4,      75,             4.3,   2034.8, 2035.0800000000002,          5.4
   77,    304.6,      74,            4.24,   2035.1, 2035.3133333333333,          5.3
   78,      309,      75,            4.22,   2035.3, 2035.5533333333333,            6
   79,    313.2,      75,             4.2,   2035.5, 2035.7933333333333,          5.3
   80,    317.2,      73,            4.18,   2035.8,  2036.033333333333,          5.3
   81,    321.6,      71,            4.24,     2036,  2036.273333333333,          5.8
   82,      326,      69,            4.28,   2036.2, 2036.5199999999998,            5
   83,    330.4,      70,            4.28,   2036.5, 2036.7666666666664,          5.5
   84,    335.1,      70,            4.38,   2036.7,  2037.013333333333,            6
   85,    339.7,      70,             4.5,     2037, 2037.2599999999998,          5.5
   86,    344.2,      69,            4.52,   2037.3,  2037.513333333333,          6.2
   87,    348.6,      69,            4.52,   2037.5, 2037.7666666666664,          5.7
   88,    352.9,      74,             4.5,   2037.8, 2038.0199999999998,          5.8
