Throttle (%) , Voltage (V) , Thrust (g) , Torque (N*m) , Current (A) , RPM , Power (W) , Efficiency (g/W) (%)
40,47.91,3662,1.25,6.14,1900,294,12.44%
42,47.91,3880,1.31,6.67,1956,320,12.13%
44,47.91,4154,1.4,7.35,2054,352,11.79%
46,47.91,4397,1.48,8.05,2130,386,11.39%
48,47.91,4694,1.57,8.79,2208,421,11.15%
50,47.92,4976,1.66,9.61,2293,460,10.81%
52,47.91,5284,1.75,10.48,2376,502,10.52%
54,47.91,5557,1.84,11.27,2451,540,10.30%
56,47.93,5891,1.94,12.23,2530,586,10.04%
58,47.93,6247,2.05,13.33,2610,639,9.78%
60,47.93,6596,2.15,14.36,2684,688,9.58%
62,47.93,6930,2.26,15.46,2777,741,9.35%
64,47.93,7205,2.35,16.54,2854,793,9.09%
66,47.93,7515,2.45,17.64,2930,845,8.89%
68,47.93,7796,2.55,18.77,3108,899,8.67%
70,47.93,8277,2.7,20.72,3178,993,8.33%
75,47.92,9108,2.94,23.77,3372,1139,7.99%
80,47.92,9793,3.19,27.35,3437,1310,7.47%
90,47.92,10426,3.73,37.77,3774,1810,5.76%
100,47.92,11683,4.16,48.79,4045,2338,4.99%
