time, distance, velocity_smooth, altitude, grade_smooth
   0,      2.3,               0,     38.8,            0
   1,      4.3,               2,     38.8,            0
   2,      6.4,             2.1,     38.8,            0
   3,      8.4,               2,     38.8,            0
   4,     10.4,               2,     38.8,            0
   5,     20.1,             3.6,     38.8,            0
   6,       30,             5.1,     38.8,            0
   7,     41.2,               7,     38.8,            0
   8,     58.2,               7,     38.8,            0
   9,     81.2,               7,     38.8,            0
   10,     94.5,               7,     38.8,            0
   11,    107.8,               7,     38.8,            0
   12,      121,              16,     38.8,            0
   13,    133.5,            15.1,     38.8,            0
   14,    145.3,            12.8,     38.8,            0
   15,    156.8,            12.5,     38.8,            0
   16,    167.8,              12,     38.8,            0
   17,    178.2,            11.4,     38.8,            0
   18,      188,            10.9,     38.8,            0
   19,    197.6,            10.5,     38.8,            0
   20,    206.7,              10,     38.8,            0
   21,    215.7,             9.6,     38.8,            0
   22,    225.5,             9.5,     38.8,            0
   23,    234.9,             9.4,     38.8,            0
   24,    245.9,             9.7,     38.8,            0
   25,    258.1,            10.3,     38.8,            0
   26,    269.3,            10.7,     38.8,            0
   27,    280.5,              11,     38.8,            0
   28,    293.5,            11.7,     38.8,            0
   29,      306,              12,     38.8,            0
   30,    318.7,            12.1,     38.8,            0
   31,    331.9,            12.5,     38.8,            0
   32,      345,            12.9,     38.8,            0
   33,    357.7,            12.8,     38.8,            0
   34,      372,            13.2,     38.8,            0
   35,    385.4,            13.3,     38.8,            0
   36,    399.7,            13.6,     38.8,            0
   37,    414.3,            13.9,     38.8,            0
   38,    428.6,            14.2,     38.8,            0
   39,    443.3,            14.3,     38.8,            0
   40,    457.4,            14.4,     38.8,            0
   41,    470.8,            14.2,     38.8,            0
   42,    485.1,            14.2,     38.8,            0
   43,    499.5,            14.2,     38.8,            0
   44,    513.3,              14,     38.8,            0
   45,    526.2,            13.8,     38.8,            0
   46,    541.1,            14.1,     38.8,            0
   47,    554.5,            13.9,     38.8,            0
   48,    568.9,            13.9,     38.8,            0
   49,    582.8,            13.9,     38.8,            0
   50,    596.9,            14.1,     38.8,            0
   51,    611.4,            14.1,     38.8,            0
   52,    625.7,            14.2,     38.8,            0
   53,    640.1,            14.2,     38.8,            0
   54,    654.5,            14.3,     38.8,            0
   55,    668.9,            14.4,     38.8,            0
   56,    683.4,            14.4,     38.8,            0
   57,    698.1,            14.5,     38.8,            0
   58,    712.6,            14.5,     38.8,            0
   59,      727,            14.5,     38.8,            0
   60,    740.5,            14.3,     38.8,            0
   61,    753.6,              14,     38.8,            0
   62,    771.3,            14.6,     38.8,            0
   63,    785.9,            14.7,     38.8,            0
   64,    800.6,            14.7,     38.8,            0
   65,    815.3,              15,     38.8,            0
   66,    829.9,            15.3,     38.8,            0
   67,    844.8,            14.7,     38.8,            0
   68,    859.3,            14.7,     38.8,            0
   69,    873.8,            14.6,     38.8,            0
   70,    888.4,            14.6,     38.8,            0
   71,    903.1,            14.6,     38.8,          0.3
   72,      918,            14.6,     38.8,          0.3
   73,    933.2,            14.8,       39,          0.3
   74,    948.6,              15,       39,          0.3
   75,      964,            15.1,       39,            0
   76,    979.6,            15.3,       39,            0
   77,    995.1,            15.4,       39,         -0.3
   78,   1010.9,            15.5,       39,         -0.3
   79,   1026.5,            15.6,     38.8,         -0.3
   80,   1041.6,            15.5,     38.8,         -0.3
   81,   1056.6,            15.4,     38.8,            0
   82,     1074,            15.8,     38.8,          0.3
   83,   1089.9,            15.8,     38.8,          0.3
   84,   1105.7,            15.8,       39,          0.3
   85,   1121.4,              16,       39,          0.3
   86,   1136.9,            16.1,       39,         -0.3
   87,   1152.5,            15.7,       39,            0
   88,   1168.1,            15.6,     38.8,            0
   89,   1183.7,            15.6,       39,            0
   90,   1199.2,            15.6,       39,          0.3
   91,   1214.3,            15.5,       39,            0
   92,   1229.3,            15.4,       39,            0
   93,   1244.3,            15.2,       39,            0
   94,     1260,            15.3,       39,          0.3
   95,   1275.5,            15.3,       39,          0.3
   96,   1290.9,            15.3,     39.2,          0.7
   97,     1306,            15.3,     39.2,          0.6
   98,   1321.1,            15.4,     39.4,          0.3
   99,   1337.6,            15.5,     39.4,          0.3
  100,   1352.7,            15.4,     39.4,            0
  101,   1367.8,            15.4,     39.4,            0
  102,   1383.4,            15.5,     39.4,            0
  103,   1397.6,            15.3,     39.4,            0
  104,   1415.7,            15.6,     39.4,            0
  105,   1431.4,            15.7,     39.4,            0
  106,   1447.2,            15.9,     39.4,          0.3
  107,   1462.6,            15.8,     39.4,          0.3
  108,   1477.9,            16.1,     39.6,          0.3
  109,   1493.3,            15.5,     39.6,          0.3
  110,   1508.4,            15.4,     39.6,          0.3
  111,   1523.3,            15.2,     39.6,          0.3
  112,   1538.1,            15.1,     39.8,          0.3
  113,   1553.3,            15.1,     39.8,          0.3
  114,   1568.2,              15,     39.8,          0.3
  115,   1583.2,              15,     39.8,          0.3
  116,   1598.3,              15,       40,          0.3
  117,   1613.8,            15.1,       40,          0.3
  118,   1628.6,            15.1,       40,            0
  119,   1643.4,              15,       40,            0
  120,   1657.4,            14.8,       40,          0.4
  121,     1671,            14.5,       40,          0.4
  122,   1685.4,            14.3,     40.2,          0.4
  123,   1698.3,            13.9,     40.2,          0.4
  124,   1711.1,            13.5,     40.2,            0
  125,   1722.5,              13,     40.2,            0
  126,   1733.3,            12.5,     40.2,            0
  127,   1743.1,            11.5,     40.2,            0
  128,     1752,            10.7,     40.2,            0
  129,   1760.6,             9.9,     40.2,            0
  130,   1768.3,             9.2,     40.2,            0
  131,   1776.1,             8.6,     40.2,            0
  132,   1784.2,             8.2,     40.2,            0
  133,   1792.2,               8,     40.2,            0
  134,   1800.6,               8,     40.2,            0
  135,   1810.4,             8.4,     40.2,            0
  136,   1820.6,             8.9,     40.2,            0
  137,   1832.3,             9.6,     40.2,            0
  138,   1844.5,            10.5,     40.2,            0
  139,   1856.8,            11.2,     40.2,            0
  140,   1868.9,            11.7,     40.2,         -0.4
  141,   1881.3,            12.1,     40.2,         -0.4
  142,   1896.1,            12.8,       40,         -0.4
  143,   1909.9,            13.1,       40,         -0.4
  144,   1923.7,            13.4,       40,            0
  145,   1937.4,            13.7,       40,         -0.4
  146,   1950.9,            13.9,       40,         -0.4
  147,   1963.9,            13.6,     39.8,         -0.4
  148,   1976.5,            13.3,     39.8,         -0.4
  149,   1991.2,            13.5,     39.8,            0
  150,   2004.6,            13.4,     39.8,            0
  151,     2017,            13.2,     39.8,            0
  152,   2033.7,              14,     39.8,            0
  153,   2047.7,            14.2,     39.8,            0
  154,   2062.4,            14.2,     39.8,            0
  155,   2076.5,            14.4,     39.8,            0
  156,   2090.5,            14.7,     39.8,         -0.4
  157,   2104.7,            14.2,     39.8,         -0.4
  158,     2119,            14.3,     39.6,         -0.4
  159,   2133.4,            14.2,     39.6,         -0.4
  160,   2147.4,            14.2,     39.6,            0
  161,   2160.5,              14,     39.6,          0.3
  162,     2178,            14.7,     39.6,          0.3
  163,     2193,            14.8,     39.8,          0.3
  164,   2207.5,            14.8,     39.8,          0.3
  165,   2222.5,              15,     39.8,            0
