time,distance,velocity_smooth,altitude,grade_smooth
   28,    223.7,            9.34,     82.6,          5.2
   29,    233.7,            9.56,     83.2,          5.1
   30,    243.5,            9.62,     83.7,          5.4
   31,    253.1,            9.66,     84.2,          5.2
   32,    262.7,             9.7,     84.7,          5.1
   33,      272,            9.66,     85.2,            5
   34,    280.6,            9.38,     85.6,          5.2
   35,      289,             9.1,       86,            5
   36,    297.6,             8.9,     86.5,          5.2
   37,    306.2,             8.7,     86.9,          5.4
   38,    315.1,            8.62,     87.4,          5.3
   39,    324.1,             8.7,     87.9,          5.3
   40,    333.2,            8.84,     88.4,            5
   41,      342,            8.88,     88.8,          4.7
   42,      351,            8.96,     89.2,          4.5
   43,    359.9,            8.96,     89.6,          4.8
   44,    368.6,             8.9,       90,          4.7
   45,    377.6,            8.88,     90.5,          4.9
   46,      387,               9,     90.9,          4.8
   47,    396.6,            9.12,     91.4,          4.8
   48,    406.1,            9.24,     91.8,          5.1
   49,    415.4,            9.36,     92.3,          4.9
   50,    424.4,            9.36,     92.8,          5.3
   51,    433.3,            9.26,     93.2,          5.4
   52,      442,            9.08,     93.7,          5.4
   53,    450.8,            8.94,     94.2,          5.7
   54,    459.7,            8.86,     94.7,          5.4
   55,    468.4,             8.8,     95.2,          5.5
   56,    476.9,            8.72,     95.6,          4.9
   57,    485.6,            8.72,     96.1,          4.6
   58,    494.5,            8.74,     96.4,          4.5
   59,    503.5,            8.76,     96.8,          3.9
   60,    512.5,            8.82,     97.2,          4.2
   61,    521.5,            8.92,     97.5,          4.2
   62,    530.4,            8.96,     97.9,          4.1
   63,    539.6,            9.02,     98.3,          4.4
   64,    548.8,            9.06,     98.7,          4.3
   65,    558.1,            9.12,     99.1,          4.1
   66,    567.2,            9.14,     99.5,          4.2
   67,    576.1,            9.14,     99.8,          3.9
   68,    584.7,            9.02,    100.2,          3.7
   69,    593.6,            8.96,    100.5,          3.9
   70,    602.6,             8.9,    100.8,          4.1
   71,      612,            8.96,    101.2,          4.3
   72,    621.6,             9.1,    101.7,          4.6
   73,      631,            9.26,    102.1,          4.7
   74,    639.8,            9.24,    102.5,          4.7
   75,    647.8,            9.04,    102.9,          4.7
   76,    655.3,            8.66,    103.3,          4.5
   77,      663,            8.28,    103.6,          4.5
   78,      671,               8,    103.9,          4.2
   79,      679,            7.84,    104.3,          4.7
   80,      686,            7.64,    104.6,          4.9
   81,    692.8,             7.5,      105,          4.8
   82,    699.7,            7.34,    105.3,          4.9
   83,    707.9,            7.38,    105.7,          4.8
   84,    716.6,            7.52,    106.1,          4.8
   85,    724.2,            7.64,    106.5,          4.8
   86,    735.4,            8.52,      107,          4.6
   87,    747.1,            9.48,    107.6,          4.4
   88,    757.7,            9.96,      108,          4.3
   89,    767.8,           10.24,    108.4,          3.7
   90,    777.7,            10.7,    108.8,          3.8
   91,    787.6,           10.44,    109.1,          3.8
   92,    797.7,           10.12,    109.5,          3.6
   93,    807.4,            9.94,    109.9,            4
   94,    816.5,            9.74,    110.2,          4.1
   95,    825.4,            9.54,    110.6,          4.4
   96,    834.4,            9.36,      111,          4.6
   97,    843.6,            9.18,    111.5,          4.8
   98,    853.4,             9.2,    111.9,          4.8
   99,    862.7,            9.24,    112.4,          4.8
  100,      872,            9.32,    112.8,            5
  101,      881,            9.32,    113.3,          5.1
  102,    889.7,            9.22,    113.7,          5.2
  103,    898.3,            8.98,    114.2,          4.8
  104,    906.5,            8.76,    114.6,          4.8
  105,    914.6,            8.52,    114.9,          4.6
  106,    922.7,            8.34,    115.3,          4.3
  107,    930.9,            8.24,    115.7,          4.7
  108,    938.7,            8.08,      116,          4.4
  109,    946.5,               8,    116.4,          4.3
  110,    954.8,            8.04,    116.7,          4.8
  111,    963.4,            8.14,    117.1,          4.6
  112,    972.3,            8.28,    117.6,          5.1
  113,    981.2,             8.5,      118,          5.2
  114,    989.8,            8.66,    118.5,            5
  115,      998,            8.64,    118.9,          5.2
  116,   1006.5,            8.62,    119.3,          4.9
  117,   1015.7,            8.68,    119.8,          4.8
  118,   1024.8,            8.72,    120.2,          4.9
  119,   1033.3,             8.7,    120.6,          4.7
  120,   1041.4,            8.68,      121,          4.8
  121,   1049.5,             8.6,    121.4,          4.9
  122,   1058.4,            8.54,    121.8,          5.3
  123,   1068.2,            8.68,    122.3,          5.2
  124,   1079.4,            9.22,      123,          5.2
  125,     1090,            9.72,    123.5,            5
  126,   1098.7,            9.84,    123.9,          4.2
  127,   1106.4,             9.6,    124.2,          3.8
  128,   1115.1,            9.38,    124.5,          3.4
  129,   1124.2,            8.96,    124.8,          3.1
  130,   1134.1,            8.82,    125.1,          3.3
  131,   1144.6,            9.18,    125.4,          3.2
  132,   1154.7,            9.66,    125.8,          3.3
  133,   1164.5,            9.88,    126.1,          3.1
  134,   1173.9,            9.94,    126.4,          2.8
