 time, distance, velocity_smooth, altitude, grade_smooth
   0,      2.1,               0,      0.6,          3.4
   1,      3.9,             1.8,      0.7,          3.4
   2,      5.7,             1.8,      0.8,          3.3
   3,        8,           1.967,      0.8,          2.9
   4,       11,           2.225,      0.9,          2.5
   5,     14.2,            2.42,        1,          3.1
   6,     17.6,            2.74,      1.1,          3.2
   7,     20.7,               3,      1.2,          2.7
   8,     23.5,             3.1,      1.3,          2.7
   9,     25.5,             2.9,      1.3,          2.9
   10,     26.9,            2.54,      1.4,            2
   11,     28.9,            2.26,      1.4,          2.5
   12,     30.9,            2.04,      1.5,          1.8
   13,     33.3,            1.96,      1.5,          2.7
   14,     35.5,               2,      1.6,          1.9
   15,     37.9,             2.2,      1.6,          3.8
   16,     39.9,             2.2,      1.7,          3.2
   17,     41.6,            2.14,      1.7,          3.5
   18,     43.8,             2.1,      1.9,            4
   19,     44.8,            1.86,      1.9,          2.6
   20,     46.8,            1.78,        2,            3
   21,       48,            1.62,        2,          1.7
   22,     49.8,            1.64,        2,          1.8
   23,     51.6,            1.56,        2,          1.8
   24,     53.7,            1.78,      2.1,          1.7
   25,     55.7,            1.78,      2.1,          2.3
   26,       58,               2,      2.2,          1.9
   27,     61.3,             2.3,      2.2,          1.5
   28,     64.5,            2.58,      2.3,          1.4
   29,     68.7,               3,      2.3,          1.3
   30,     72.8,            3.42,      2.4,          1.2
   31,     76.8,            3.76,      2.4,          1.3
   32,     80.7,            3.88,      2.5,          0.7
   33,       84,             3.9,      2.5,          0.7
   34,     87.8,            3.82,      2.5,            0
   35,     90.2,            3.48,      2.5,            0
   36,     92.9,            3.22,      2.5,            0
   37,     95.2,             2.9,      2.5,            0
   38,     97.2,            2.64,      2.5,          0.9
   39,       99,            2.24,      2.5,          0.8
   40,    101.3,            2.22,      2.5,            1
   41,    103.9,             2.2,      2.6,          1.7
   42,    107.4,            2.44,      2.6,          1.6
   43,      111,            2.76,      2.7,          0.8
   44,      114,               3,      2.7,          1.6
   45,    116.8,             3.1,      2.7,          0.8
   46,    119.6,            3.14,      2.8,          0.8
   47,      123,            3.12,      2.8,          0.9
   48,      126,               3,      2.8,            0
   49,    128.5,             2.9,      2.8,            0
   50,    131.6,            2.96,      2.8,            0
   51,    134.8,            3.04,      2.8,            0
   52,    137.2,            2.84,      2.8,            0
   53,    140.1,            2.82,      2.8,            0
   54,      143,             2.9,      2.8,            0
   55,    146.3,            2.94,      2.8,            0
   56,    148.9,            2.82,      2.8,            0
   57,      152,            2.96,      2.8,            0
   58,    154.3,            2.84,      2.8,            0
   59,    156.5,             2.7,      2.8,          0.9
   60,    158.4,            2.42,      2.8,          0.9
   61,    160.5,            2.32,      2.8,          0.9
   62,    163.1,            2.22,      2.9,          0.8
   63,    165.5,            2.24,      2.9,          1.7
   64,      168,             2.3,      2.9,          0.8
   65,    170.2,            2.36,      2.9,          0.8
   66,    172.4,            2.38,        3,            1
   67,    174.9,            2.36,        3,          1.7
   68,    178.1,            2.52,        3,          1.6
   69,    182.1,            2.82,      3.1,          1.5
   70,    185.2,               3,      3.2,          2.4
   71,      188,            3.12,      3.2,          1.8
   72,    190.6,            3.14,      3.3,          1.8
   73,    193.2,            3.02,      3.3,          2.6
   74,    196.4,            2.86,      3.4,          2.5
   75,    199.4,            2.84,      3.5,            3
   76,    202.7,            2.94,      3.6,            3
   77,    206.6,             3.2,      3.7,          2.1
   78,    209.9,            3.34,      3.8,          2.1
   79,    213.4,             3.4,      3.8,          2.2
   80,    216.9,             3.5,      3.9,          2.1
   81,    220.3,            3.52,        4,            2
   82,    224.3,            3.54,      4.1,          2.5
   83,    228.3,            3.68,      4.1,          2.2
   84,    233.1,            3.94,      4.3,          2.8
   85,    238.1,            4.24,      4.4,          3.7
   86,    242.4,            4.42,      4.6,          3.6
   87,    247.2,            4.58,      4.8,          3.9
   88,    252.8,             4.9,        5,          3.2
   89,    258.4,            5.06,      5.2,            3
   90,    264.5,            5.28,      5.3,          2.9
   91,    270.5,            5.62,      5.5,          2.9
   92,    276.8,            5.92,      5.7,          2.9
   93,    282.6,            5.96,      5.9,          2.9
   94,    288.7,            6.06,        6,          2.8
   95,    294.7,            6.04,      6.2,          2.8
   96,    301.4,            6.18,      6.4,          2.8
   97,    307.7,            6.18,      6.6,          2.4
   98,    313.7,            6.22,      6.7,          1.9
   99,    320.1,            6.28,      6.8,          1.1
  100,    327.4,            6.54,      6.9,          1.1
  101,    334.8,            6.68,      6.9,            1
  102,    342.1,            6.88,        7,          0.7
  103,    349.3,            7.12,      7.1,          0.7
  104,    356.5,            7.28,      7.1,          0.7
  105,    363.8,            7.28,      7.1,          0.3
  106,    371.4,            7.32,      7.2,          0.6
  107,    379.3,            7.44,      7.2,          0.6
  108,    387.3,             7.6,      7.3,          0.3
