 time, distance, velocity_smooth,                 pace,       lat,       lng, altitude
    0,      2.1,               0,  0.40275049115913547, 41.308928, 19.445484,      0.6
    1,      3.9,             1.8,  0.40275049115913547, 41.308948, 19.445481,      0.7
    2,      5.7,             1.8,  0.40275049115913547, 41.308964, 19.445491,      0.8
    3,        8,           1.967,  0.40275049115913547, 41.308982, 19.445509,      0.8
    4,       11,           2.225,  0.40275049115913547, 41.308997, 19.445538,      0.9
    5,     14.2,            2.42,  0.40275049115913547, 41.309015, 19.445571,        1
    6,     17.6,            2.74,  0.40275049115913547, 41.309031, 19.445605,      1.1
    7,     20.7,               3,  0.40275049115913547, 41.309046, 19.445636,      1.2
    8,     23.5,             3.1,  0.40275049115913547, 41.309057, 19.445663,      1.3
    9,     25.5,             2.9,  0.40275049115913547, 41.309064, 19.445684,      1.3
   10,     26.9,            2.54,  0.40275049115913547, 41.309072, 19.445701,      1.4
   11,     28.9,            2.26,  0.40275049115913547, 41.309082,  19.44572,      1.4
   12,     30.9,            2.04,  0.40275049115913547, 41.309091, 19.445741,      1.5
   13,     33.3,            1.96,  0.40275049115913547,   41.3091, 19.445766,      1.5
   14,     35.5,               2,  0.40275049115913547, 41.309111, 19.445789,      1.6
   15,     37.9,             2.2,  0.40275049115913547, 41.309123, 19.445812,      1.6
   16,     39.9,             2.2,  0.40275049115913547, 41.309133, 19.445832,      1.7
   17,     41.6,            2.14,  0.40275049115913547, 41.309143, 19.445849,      1.7
   18,     43.8,             2.1,  0.40275049115913547, 41.309154, 19.445868,      1.9
   19,     44.8,            1.86,  0.40275049115913547, 41.309157, 19.445883,      1.9
   20,     46.8,            1.78,  0.40275049115913547, 41.309168, 19.445898,        2
   21,       48,            1.62,                  0.4, 41.309176, 19.445909,        2
   22,     49.8,            1.64,  0.39331366764995085, 41.309187, 19.445926,        2
   23,     51.6,            1.56,   0.3883495145631068, 41.309199, 19.445943,        2
