 time, distance, cadence, velocity_smooth, altitude,    altitude_smooth, grade_smooth
    0,      7.8,      97,               0,    261.5,  262.8666666666666,          4.5
    1,     15.8,      98,               0,    261.9, 263.03999999999996,          4.3
    2,     23.5,      99,               0,    262.2,  263.2090909090909,          4.2
    3,     33.1,     102,               0,    262.6,  263.3833333333333,          4.1
    4,     41.1,     102,               0,    262.9, 263.55384615384617,            4
    5,     47.7,     104,            7.98,    263.2,  263.7285714285714,          3.8
    6,     56.1,     105,            8.06,    263.5, 263.90666666666664,          4.1
    7,     64.4,      93,            8.18,    263.8,             264.26,          3.9
    8,       73,      95,            7.98,    264.2, 264.61333333333334,            4
    9,     83.7,      96,            8.52,    264.6,  264.9733333333333,          4.2
   10,     90.9,      97,            8.64,    264.9,  265.3333333333333,          3.8
   11,    100.1,      99,             8.8,    265.3,              265.7,            4
   12,    109.4,     101,               9,    265.6,  266.0733333333334,          3.8
   13,    118.8,     102,            9.16,      266,             266.44,          3.8
   14,    130.3,     104,            9.32,    266.4, 266.79333333333335,          4.2
   15,    139.9,     105,             9.8,    266.8, 267.14000000000004,          4.1
   16,    147.8,     106,            9.54,    267.2, 267.47333333333336,          4.1
   17,    157.7,     108,            9.66,    267.6,              267.8,            4
   18,    169.7,     110,           10.18,      268, 268.11333333333334,          3.8
   19,    179.9,     100,            9.92,    268.4,  268.4266666666667,          3.4
   20,    190.3,     101,           10.08,    268.8,  268.7266666666667,          2.8
   21,    198.6,     100,           10.16,      269,  269.0133333333334,          2.5
   22,    208.9,     100,           10.24,    269.1, 269.28000000000003,            2
   23,    219.3,     101,            9.92,    269.4, 269.52000000000004,          1.9
   24,    229.5,     103,            9.92,    269.6, 269.74000000000007,          2.1
   25,    240.2,     105,            9.98,    269.8,  269.9333333333334,          2.1
   26,    250.8,     106,           10.44,      270,  270.0933333333334,          2.1
   27,    261.8,     109,           10.58,    270.3, 270.22666666666674,          1.9
   28,      273,     110,           10.74,    270.5, 270.34000000000003,          1.7
   29,    286.4,     110,           11.38,    270.7, 270.44000000000005,          1.1
   30,    297.9,     110,           11.54,    270.8,  270.5133333333334,          0.9
   31,    307.4,     103,           11.32,    270.8,  270.5666666666667,          0.4
   32,    319.1,     105,           11.46,    270.9,  270.6000000000001,            0
   33,    331.1,     105,           11.62,    270.9,  270.6133333333334,            0
   34,    345.8,      94,           11.88,    270.8,              270.6,         -0.4
   35,    358.4,      96,            12.1,    270.8,  270.5733333333334,         -0.6
   36,    368.5,      98,           12.22,    270.7, 270.53333333333336,         -0.6
   37,    381.3,      67,           12.44,    270.6,  270.4866666666667,         -0.8
   38,      394,      99,           12.58,    270.5,             270.44,         -0.8
   39,      407,     102,           12.24,    270.4,  270.3933333333333,         -0.8
   40,    419.9,     102,            12.3,    270.3, 270.34666666666664,         -0.8
   41,    433.4,      85,           12.98,    270.2,  270.3133333333333,         -0.6
   42,    447.1,      49,           13.16,    270.1,             270.28,         -0.4
   43,    460.7,     103,           13.34,    270.1, 270.25333333333333,         -0.2
   44,    474.3,      83,           13.46,    270.1, 270.23333333333335,            0
   45,    490.6,      83,           14.14,    270.1,  270.2266666666667,          0.2
   46,    504.1,      95,           14.14,    270.1,  270.2266666666667,          0.2
   47,    517.5,     102,           14.08,    270.2, 270.23333333333335,          0.4
   48,    530.6,     102,           13.98,    270.2, 270.25333333333333,          0.4
   49,    541.4,     102,           13.42,    270.3, 270.28000000000003,          0.2
   50,    557.5,     102,           13.38,    270.3, 270.31333333333333,          0.2
   51,    570.8,     102,           13.34,    270.3,  270.3466666666667,          0.2
   52,    581.6,     102,           12.82,    270.3, 270.38666666666666,          0.2
   53,      595,     102,           12.88,    270.4, 270.43333333333334,          0.2
   54,    608.1,     102,           13.34,    270.4,  270.4800000000001,          0.4
   55,      624,     103,            13.3,    270.4,  270.5333333333334,          0.2
   56,    634.6,     103,           12.76,    270.5,  270.5866666666667,          0.4
   57,    648.2,     104,           13.32,    270.5, 270.64000000000004,          0.4
   58,    661.5,      97,            13.3,    270.6,              270.7,          0.4
   59,    675.1,      96,            13.4,    270.6, 270.76666666666665,          0.5
   60,    691.3,      96,           13.46,    270.7,  270.8333333333333,          0.5
   61,    704.7,      95,           14.02,    270.8,  270.9133333333333,          0.7
   62,    718.1,      95,           13.98,    270.9, 270.99999999999994,          0.8
   63,    728.7,      99,           13.44,      271, 271.08666666666664,          0.6
   64,      742,      73,           13.38,    271.1, 271.17333333333335,          0.6
