 time, distance, watts, cadence, velocity_smooth, altitude,    altitude_smooth, grade_smooth
  300,    840.9,   303,      83,            7.34,       65,  65.57777777777777,          3.3
  301,    848.4,   185,      85,            7.44,     65.2,               65.6,          2.6
  302,    856.3,   194,      85,            7.54,     65.4,  65.61818181818181,          2.5
  303,    864.6,   121,      35,            7.74,     65.6,  65.63333333333331,          1.8
  304,    873.2,   251,      84,            7.94,     65.8,  65.64615384615382,          1.2
  305,    881.7,    37,      81,            8.16,     65.8,  65.65714285714283,          0.6
  306,    890.3,    51,      60,            8.38,     65.8,  65.66666666666664,            0
  307,    898.5,    52,      82,            8.44,     65.8,  65.71999999999997,            0
  308,    907.2,    89,      77,            8.52,     65.8,  65.75999999999996,            0
  309,      916,    98,      79,            8.56,     65.8,  65.78666666666663,            0
  310,    925.2,   102,      79,             8.7,     65.8,  65.79999999999997,            0
  311,      934,    72,      78,            8.74,     65.8,  65.79999999999997,            0
  312,    942.7,     3,      69,            8.84,     65.8,  65.79999999999997,            0
  313,    951.2,    20,      68,             8.8,     65.8,  65.79999999999997,            0
  314,    959.7,    21,      76,            8.74,     65.8,  65.79999999999997,            0
  315,    968.1,    69,      77,            8.58,     65.8,   65.8133333333333,            0
  316,    976.6,    28,      76,            8.52,     65.8,  65.82666666666664,            0
  317,    985.1,     9,      64,            8.48,     65.8,  65.83999999999997,            0
  318,    993.3,    12,      81,            8.42,     65.8,  65.85333333333331,            0
  319,   1001.7,    63,      83,             8.4,     65.8,  65.87999999999998,            0
  320,   1010.5,   122,      84,            8.48,     65.8,  65.90666666666665,            0
  321,   1019.1,    89,      85,             8.5,     65.8,  65.93333333333332,          0.6
  322,   1027.9,   139,      86,            8.56,     65.8,              65.96,          0.6
  323,   1036.2,    63,      86,            8.58,       66,                 66,          0.6
  324,   1044.5,    30,      45,            8.56,       66,              66.04,          0.6
  325,     1053,     1,      45,             8.5,       66,              66.08,          0.6
  326,   1061.4,     1,      27,            8.46,       66,              66.12,          0.6
  327,     1070,   131,      84,            8.42,     66.2,  66.17333333333335,          0.6
  328,   1078.7,   138,      86,             8.5,     66.2,  66.22666666666667,          0.6
  329,   1087.1,    72,      86,            8.52,     66.2,  66.29333333333335,          0.6
  330,   1095.6,    45,      69,            8.52,     66.2,  66.34666666666668,          0.6
  331,   1103.9,    12,      67,             8.5,     66.4,  66.41333333333334,          0.6
  332,   1112.4,     8,      71,            8.48,     66.4,              66.48,          0.6
  333,   1120.7,    55,      82,             8.4,     66.4,  66.54666666666668,          0.6
  334,   1128.9,   110,      83,            8.36,     66.4,  66.60000000000001,          0.6
  335,   1137.2,   155,      83,            8.32,     66.6,  66.66666666666667,          1.2
  336,   1145.8,    53,      83,            8.38,     66.6,  66.73333333333333,          1.2
  337,   1154.2,    97,      83,            8.36,     66.8,  66.80000000000001,          1.2
  338,   1162.5,    41,      76,            8.36,     66.8,  66.85333333333334,          1.2
  339,   1170.7,    48,      78,            8.36,       67,  66.92000000000002,          0.6
  340,   1179.1,   169,      83,            8.38,       67,  66.98666666666668,          0.6
  341,   1187.3,   114,      84,             8.3,       67,  67.05333333333334,          0.6
  342,   1195.8,    43,      83,            8.32,       67,  67.12000000000002,          0.6
  343,   1204.3,    92,      83,            8.36,     67.2,  67.18666666666668,          0.6
  344,   1212.1,    33,      74,            8.28,     67.2,  67.25333333333334,          0.6
  345,   1220.1,    16,      78,             8.2,     67.2,  67.32000000000001,          0.6
  346,     1228,    66,      77,            8.14,     67.2,  67.37333333333335,          0.6
  347,     1236,    41,      80,            8.04,     67.4,  67.42666666666668,          0.6
  348,   1244.4,   126,      80,            8.02,     67.4,  67.49333333333334,          1.2
  349,   1252.4,   139,      81,            8.06,     67.4,              67.56,          0.6
  350,   1260.6,   165,      81,             8.1,     67.6,  67.62666666666668,          1.2
  351,   1268.8,   144,      82,            8.16,     67.6,  67.69333333333334,          1.2
  352,   1277.2,   122,      90,            8.24,     67.8,  67.77333333333334,          0.6
  353,   1285.5,    71,      90,            8.22,     67.8,  67.85333333333332,          0.6
  354,   1293.9,   132,      91,             8.3,     67.8,  67.93333333333334,          0.6
  355,     1302,   156,      91,            8.28,     67.8,  68.01333333333334,          0.6
  356,   1310.3,   200,      92,             8.3,       68,  68.10666666666667,          1.2
  357,   1318.8,   162,      94,            8.32,       68,  68.18666666666667,          1.2
  358,   1327.7,    27,      87,            8.44,     68.2,  68.26666666666667,          1.2
  359,   1336.1,    64,      93,            8.44,     68.2,  68.34666666666665,          1.2
  360,     1344,    76,      92,             8.4,     68.4,  68.42666666666666,          1.2
  361,   1352.5,    79,      92,            8.44,     68.4,              68.52,          1.2
  362,   1360.6,    53,      91,            8.36,     68.6,  68.62666666666668,          1.2
  363,   1368.8,    82,      92,            8.22,     68.6,  68.72000000000001,          1.2
  364,   1377.7,    88,      91,            8.32,     68.8,  68.82666666666667,          0.6
  365,   1386.1,    90,      91,            8.42,     68.8,  68.93333333333334,          1.2
  366,   1394.8,   117,      91,            8.46,     68.8,  69.03999999999999,          0.6
  367,   1403.4,   146,      91,            8.56,       69,  69.13333333333334,          1.2
  368,   1411.8,   168,      92,             8.6,       69,              69.24,          1.8
  369,   1420.1,   132,      93,            8.48,     69.2,  69.34666666666665,          1.2
  370,   1428.4,   151,      93,            8.46,     69.4,  69.45333333333332,          1.8
  371,   1436.3,    88,      93,             8.3,     69.4,  69.55999999999999,          1.8
  372,   1444.4,    78,      91,             8.2,     69.6,  69.66666666666667,          1.2
  373,   1452.8,   125,      91,             8.2,     69.8,  69.78666666666666,          1.2
  374,   1460.8,   147,      91,            8.14,     69.8,  69.89333333333333,          1.2
  375,   1468.9,    92,      91,             8.1,     69.8,  69.99999999999999,          1.2
  376,   1476.8,   120,      91,             8.1,       70,   70.0933333333333,          1.2
  377,   1485.3,   215,      92,            8.18,     70.2,  70.18666666666665,          1.8
  378,     1494,   135,      92,            8.24,     70.2,  70.27999999999999,          1.2
  379,   1502.5,   153,      92,            8.34,     70.4,  70.35999999999999,          1.2
  380,     1511,   161,      93,            8.42,     70.4,  70.42666666666666,          1.2
  381,   1519.5,   183,      89,            8.54,     70.6,  70.49333333333333,          0.6
  382,   1527.9,   150,      86,            8.52,     70.6,  70.54666666666665,          0.6
  383,   1536.8,    56,      88,            8.56,     70.6,  70.58666666666664,          0.6
  384,   1545.7,    68,      89,            8.64,     70.6,   70.6133333333333,          0.6
  385,   1554.6,    42,      89,            8.72,     70.8,  70.62666666666664,          0.6
