 time, distance, cadence, velocity_smooth, altitude,    altitude_smooth, grade_smooth
   35,    306.3,      46,           8.398,     63.4,  63.39999999999999,            0
   36,    314.5,      80,            8.32,     63.4,  63.39999999999999,            0
   37,    322.6,      62,           8.226,     63.4, 63.399999999999984,            0
   38,      331,      42,            8.23,     63.4, 63.399999999999984,            0
   39,      339,      22,           8.192,     63.4, 63.399999999999984,            0
   40,    346.9,      71,            8.13,     63.4, 63.399999999999984,            0
   41,      355,      66,            8.11,     63.4, 63.399999999999984,            0
   42,    362.9,      83,           8.058,     63.4, 63.399999999999984,            0
   43,    370.8,      75,            7.95,     63.4,  63.41333333333332,            0
   44,    378.6,      76,           7.916,     63.4,  63.41333333333332,            0
   45,    386.5,      78,           7.906,     63.4,  63.41333333333332,            0
   46,      394,      79,           7.796,     63.4, 63.426666666666655,            0
   47,    401.6,      83,            7.75,     63.4,  63.43999999999999,            0
   48,    409.8,      86,           7.806,     63.4,  63.45333333333333,            0
   49,      418,      61,           7.882,     63.4,  63.46666666666667,          0.6
   50,    426.1,      50,           7.916,     63.4, 63.480000000000004,            0
   51,    433.9,      46,           7.988,     63.6,  63.49333333333334,            0
   52,    442.3,      44,           8.126,     63.4, 63.506666666666675,          0.6
   53,    450.4,      27,           8.124,     63.4,  63.52000000000001,            0
   54,    458.5,      10,           8.108,     63.6, 63.533333333333346,          0.6
   55,    466.5,       0,           8.084,     63.6,  63.54666666666669,          0.6
   56,    474.3,       0,           8.074,     63.6, 63.560000000000024,            0
   57,    482.4,      83,           8.028,     63.6,  63.57333333333336,            0
   58,    490.2,      69,           7.956,     63.6,  63.58666666666669,            0
   59,    497.9,      38,           7.872,     63.6,  63.61333333333335,            0
   60,    505.5,       7,           7.808,     63.6,  63.62666666666669,            0
   61,    512.9,       0,           7.724,     63.6,  63.62666666666669,            0
   62,    520.2,       0,           7.562,     63.6,  63.62666666666669,            0
   63,    527.6,       0,           7.488,     63.6,  63.62666666666669,            0
   64,    535.2,       0,            7.46,     63.6,  63.62666666666669,          0.7
   65,    542.8,      80,            7.45,     63.6, 63.640000000000015,          0.7
   66,    549.9,      81,            7.39,     63.8,  63.65333333333334,            0
   67,    557.3,      82,            7.42,     63.8,  63.66666666666667,            0
   68,    564.9,      79,           7.456,     63.6,              63.68,         -0.7
   69,    572.8,      56,           7.518,     63.6, 63.693333333333335,         -0.7
   70,    580.5,      50,           7.552,     63.6,  63.70666666666666,            0
   71,    587.6,      52,            7.55,     63.6,  63.71999999999999,          0.7
   72,    594.6,      74,           7.452,     63.6, 63.746666666666655,          0.7
   73,    601.6,      85,           7.342,     63.8,  63.75999999999999,          0.7
   74,      609,      90,            7.25,     63.8, 63.773333333333326,          0.7
