alpha (deg),CL_corrected,CD_vlm,Cm_vlm
-10.0,0.0521,0.00744,0.0443
-9.0,0.1256,0.00740,0.1180
-8.0,0.1992,0.00823,0.1916
-7.0,0.2728,0.00991,0.2652
-6.0,0.3462,0.01246,0.3387
-5.0,0.4195,0.01586,0.4121
-4.0,0.4925,0.02011,0.4854
-3.0,0.5653,0.02520,0.5585
-2.0,0.6377,0.03113,0.6315
-1.0,0.7096,0.03788,0.7043
0.0,0.7811,0.04543,0.7768
1.0,0.8519,0.05377,0.8491
2.0,0.9222,0.06287,0.9212
3.0,0.9918,0.07271,0.9930
4.0,1.0606,0.08327,1.0644
5.0,1.1286,0.09452,1.1356
6.0,1.1957,0.10642,1.2064
7.0,1.2620,0.11896,1.2768
8.0,1.3272,0.13209,1.3469
9.0,1.3914,0.14577,1.4165
10.0,1.4546,0.15998,1.4857
11.0,1.5166,0.17466,1.5545
12.0,1.5775,0.18979,1.6228
13.0,1.6371,0.20531,1.6906
14.0,1.6955,0.22119,1.7578
15.0,1.7526,0.23738,1.8246
16.0,1.8084,0.25383,1.8907
17.0,1.8628,0.27049,1.9493
18.0,1.9158,0.28732,1.9382
19.0,1.9674,0.30428,1.8861
20.0,2.0175,0.32130,1.8209
21.0,2.0662,0.33834,1.7522
22.0,2.1134,0.35535,1.6816
23.0,2.1590,0.37229,1.6100
24.0,2.2032,0.38909,1.5378
25.0,2.2458,0.40571,1.4652
26.0,2.2869,0.42210,1.3922
27.0,2.3265,0.43821,1.3189
28.0,2.3644,0.45399,1.2455
29.0,2.4009,0.46940,1.1718
30.0,2.4358,0.48437,1.0980
