alpha (deg),CL_corrected,CD_vlm,Cm_vlm
-10.0,0.11938640004103053,0.0026843381266450157,-0.37246286095651604
-9.0,0.1918714793475453,0.004275703889616743,-0.3972610789374818
-8.0,0.26429811274275034,0.006563347019966911,-0.4220222016086139
-7.0,0.3366442383725007,0.009546603440858272,-0.4467160613561006
-6.0,0.40888781890609643,0.013222685077398972,-0.4713125725156331
-5.0,0.48100684824906903,0.017586685857073334,-0.4957817680271691
-4.0,0.5529793582464458,0.022631593582171428,-0.5200938359451663
-3.0,0.62478342537447,0.028348307642154083,-0.5442191557598538
-2.0,0.6963971774187118,0.034725662517863305,-0.5681283344852567
-1.0,0.7677988001365612,0.041750457013594845,-0.5917922424700265
0.0,0.8389665439020553,0.04940748913732815,-0.6151820488874307
1.0,0.9098787303310256,0.05767959653390398,-0.6382692568612695
2.0,0.9805137588845434,0.066547702360704,-0.6610257381849398
3.0,1.050850113448655,0.07599086648044308,-0.6834237675913183
4.0,1.1208663688883964,0.08598634183109283,-0.7054360565317214
5.0,1.1905411975740974,0.09650963581874428,-0.7270357864228129
6.0,1.2598533758779868,0.1075345765654229,-0.7481966413209006
7.0,1.3287817906391106,0.11903338383055105,-0.7688928399838721
8.0,1.3973054455946066,0.13097674441190862,-0.7890991672816605
9.0,1.465403467775373,0.14333389181965328,-0.8087910049170033
10.0,1.5330551138641726,0.1560726900052238,-0.8279443614190327
11.0,1.6002397765142498,0.1691597209158093,-0.8465359013731978
12.0,1.6669369906265312,0.1825603756345736,-0.8645429738518752
13.0,1.7331264395834864,0.19623894885695742,-0.8819436400110281
14.0,1.7987879614377722,0.21015873644422323,-0.8987166998193067
15.0,1.8639015550537534,0.22428213578694525,-0.9148417178870238
16.0,1.9284473862000449,0.2385707487034613,-0.9302990483635369
17.0,1.9692685223092932,0.2529854865912271,-0.9450698588726789
18.0,1.9567323820658866,0.26748667754299027,-0.9591361534571062
19.0,1.9209349621473601,0.2820341751340932,-0.9724807945036253
20.0,1.8657916217494643,0.2965874685827793,-0.9850875236226952
21.0,1.8053711804244694,0.3111057939815041,-0.9969409814568141
22.0,1.7438575808579135,0.3255482462942997,-1.0080267263934872
23.0,1.6815779413959442,0.3398738918131487,-1.0183312521601382
24.0,1.6186621174902194,0.3540418807650416,-1.0278420042794094
25.0,1.5553245015673485,0.36801155976091743,-1.0365473953648678
26.0,1.4916871314779838,0.3817425837781221,-1.0444368192384343
27.0,1.4276711701465674,0.3951950273693537,-1.0515006638523945
28.0,1.3635026322511368,0.40832949479294467,-1.057730323000187
29.0,1.2991235688365728,0.4211072287626055,-1.0631182068017448
30.0,1.2347432641090121,0.4334902175180725,-1.0676577509505942
