 time, distance, cadence, velocity_smooth, altitude, grade_smooth
   35,    335.1,      93,           11.38,    282.4,          0.4
   36,    346.4,      97,           11.34,    282.4,            0
   37,    358.2,      95,            11.4,    282.2,         -0.8
   38,    371.3,      94,           11.76,    282.2,         -0.8
   39,    384.6,      77,           12.24,      282,         -0.4
   40,    397.7,      85,           12.52,      282,         -0.4
   41,    410.5,      89,           12.82,      282,         -0.4
   42,    423.4,      90,           13.04,      282,         -0.8
   43,      436,      73,           12.94,    281.8,         -1.2
   44,    448.4,      47,           12.76,    281.6,         -1.6
   45,    461.3,      21,           12.72,    281.4,         -1.1
   46,    474.7,       0,           12.84,    281.2,         -0.7
   47,    488.7,      88,           13.06,    281.2,         -0.4
   48,    502.8,      88,           13.36,    281.2,            0
   49,    516.4,      88,            13.6,    281.2,            0
   50,    531.3,      89,              14,    281.2,          0.4
   51,      545,      89,           14.06,    281.2,          0.4
   52,      558,      89,           13.86,    281.4,          0.8
   53,    570.8,      88,            13.6,    281.4,          1.1
   54,      584,      88,           13.52,    281.6,          0.8
   55,    597.5,      89,           13.24,    281.8,          0.7
   56,    610.8,      90,           13.16,    281.8,          0.7
   57,    624.3,      90,           13.26,    281.8,          0.4
   58,    637.9,      91,           13.42,      282,          0.4
   59,    651.8,      91,           13.56,      282,          0.4
   60,    665.4,      91,           13.58,      282,          0.4
   61,    679.1,      87,           13.66,      282,          0.4
   62,    692.7,      83,           13.68,    282.2,          0.7
   63,      706,      94,           13.62,    282.2,          0.8
   64,    719.1,      93,           13.46,    282.4,          0.4
   65,    732.2,      93,           13.36,    282.4,          0.8
   66,    745.2,      92,           13.22,    282.4,          0.4
   67,    757.9,      92,           13.04,    282.6,          0.4
   68,    770.8,      92,           12.96,    282.6,          0.8
   69,    783.5,      93,           12.88,    282.6,          0.8
   70,    796.1,      93,           12.78,    282.8,          0.8
   71,    809.1,      95,           12.78,      283,          1.5
   72,    822.2,      96,           12.86,      283,          1.5
   73,    835.5,      96,           12.94,    283.4,          1.5
   74,      849,      96,            13.1,    283.6,          1.5
   75,    862.2,      96,           13.22,    283.8,          1.1
   76,    875.7,      96,           13.32,    283.8,          1.1
   77,    889.2,      95,            13.4,      284,          1.1
   78,    902.5,      93,            13.4,    284.2,          1.5
   79,    915.7,      93,           13.34,    284.4,          1.5
   80,    928.8,      92,           13.32,    284.6,          1.6
   81,    941.5,      91,           13.16,    284.8,            2
   82,    953.8,      90,           12.92,      285,            2
   83,    965.9,      92,           12.68,    285.4,          2.5
   84,    977.9,      93,           12.44,    285.6,          2.5
   85,    989.8,      92,            12.2,      286,          2.5
   86,   1001.9,      99,           12.08,    286.2,            3
   87,   1013.5,      98,           11.94,    286.6,          3.5
   88,   1024.7,      99,           11.76,      287,          4.1
   89,   1035.5,     101,           11.52,    287.6,          4.8
   90,   1045.7,     101,           11.18,      288,          5.5
   91,   1055.3,     102,           10.68,    288.6,          5.3
   92,   1064.5,     100,            10.2,    289.2,          6.1
   93,   1073.3,     102,            9.72,    289.6,          5.7
   94,   1081.8,     106,            9.26,    290.2,          5.9
   95,   1090.1,     104,            8.88,    290.6,          6.5
   96,   1098.5,     102,            8.64,    291.2,          6.5
   97,     1107,     101,             8.5,    291.8,          6.6
   98,   1115.4,      99,            8.42,    292.4,          6.8
   99,   1123.3,     108,             8.3,    292.8,          7.1
  100,   1130.9,     109,            8.16,    293.4,          6.7
  101,     1138,     106,             7.9,      294,          7.4
  102,   1145.4,     103,            7.68,    294.4,          6.8
  103,     1153,     102,            7.52,      295,          6.8
  104,   1160.1,     100,            7.36,    295.4,          6.9
  105,   1167.2,     100,            7.26,      296,          7.1
  106,   1174.2,     100,            7.24,    296.4,          7.1
  107,   1181.1,     100,            7.14,      297,          6.5
  108,   1188.1,     103,            7.02,    297.4,          7.4
  109,   1194.9,     107,            6.96,    297.8,          6.7
  110,   1201.3,     104,            6.82,    298.4,          6.8
  111,   1207.8,     103,            6.72,    298.8,          7.7
  112,   1214.4,     103,            6.66,    299.2,          6.1
  113,     1221,     104,            6.58,    299.8,          6.2
  114,   1227.4,     103,             6.5,      300,          6.9
  115,   1233.8,     102,             6.5,    300.4,          6.2
  116,   1240.3,     100,             6.5,      301,          6.2
  117,   1246.8,      97,            6.48,    301.4,          6.2
  118,   1253.1,      99,            6.42,    301.6,          5.4
  119,   1259.6,     101,            6.44,      302,          5.4
  120,   1266.2,     100,            6.48,    302.4,          6.2
  121,   1272.8,      91,             6.5,    302.8,          5.4
  122,   1279.1,      93,            6.46,    303.2,          5.3
  123,   1285.6,      95,             6.5,    303.4,          5.2
  124,   1292.5,      98,            6.58,    303.8,          5.1
  125,   1299.5,      93,            6.66,    304.2,          4.9
  126,   1306.8,      91,             6.8,    304.6,          4.7
  127,   1314.4,      94,            7.06,    304.8,          4.6
  128,   1322.2,      96,            7.32,    305.2,          3.8
  129,   1330.2,      91,            7.54,    305.6,          4.4
  130,   1338.3,      87,            7.76,    305.8,          3.7
  131,   1346.3,      89,             7.9,    306.2,          3.1
  132,   1354.4,      91,               8,    306.4,          3.1
  133,   1362.5,      94,            8.06,    306.6,          2.4
  134,   1370.9,      96,            8.14,    306.8,          2.3
  135,   1379.9,      96,            8.32,      307,          2.2
  136,   1389.1,      88,            8.56,    307.2,          2.2
  137,   1398.3,      86,            8.78,    307.4,          2.2
  138,   1407.4,      85,            8.98,    307.6,          1.6
  139,   1416.6,      86,            9.14,    307.8,          1.7
  140,   1425.6,      86,            9.14,    307.8,          1.7
  141,   1434.6,      87,             9.1,      308,          1.7
  142,   1443.6,      88,            9.06,    308.2,          1.7
  143,   1452.5,      89,            9.02,    308.4,          1.7
  144,   1461.8,      90,            9.04,    308.4,          1.1
  145,   1470.9,      91,            9.06,    308.6,          1.1
  146,   1479.9,      92,            9.06,    308.6,          1.6
  147,   1489.3,      93,            9.14,    308.8,          1.6
  148,   1498.7,      94,            9.24,      309,          1.6
  149,   1508.3,      94,             9.3,    309.2,          1.6
  150,     1518,      94,            9.42,    309.2,          1.6
  151,   1527.2,     102,            9.46,    309.4,          1.6
  152,   1536.1,      98,            9.36,    309.6,          2.2
  153,   1545.2,      93,             9.3,    309.8,          2.2
  154,   1554.5,      91,            9.24,      310,          2.2
  155,   1563.8,      90,            9.16,    310.2,          2.2
  156,   1572.9,      90,            9.14,    310.4,          2.2
  157,     1582,      88,            9.18,    310.6,          2.8
  158,   1591.2,      90,             9.2,    310.8,          2.8
  159,   1599.8,      96,            9.06,    311.2,          2.8
  160,   1608.7,      95,            8.98,    311.4,          3.5
  161,   1617.2,      95,            8.86,    311.6,          2.9
  162,   1625.6,      94,            8.72,      312,          3.6
  163,   1633.8,     100,            8.52,    312.2,          3.6
  164,   1642.1,     100,            8.46,    312.6,          3.6
  165,   1650.5,     100,            8.36,    312.8,          4.2
  166,   1658.7,      99,             8.3,    313.2,          4.3
  167,   1666.9,      97,            8.26,    313.6,          4.3
  168,   1674.8,      97,             8.2,      314,          4.4
  169,   1682.7,      97,            8.12,    314.2,          4.5
  170,   1690.4,      97,            7.98,    314.6,          3.8
  171,   1698.3,      98,            7.92,      315,          4.5
  172,   1706.2,      98,            7.86,    315.2,          4.5
  173,     1714,      98,            7.84,    315.6,          3.8
  174,   1721.8,      86,            7.82,      316,          4.4
  175,   1729.8,      86,            7.88,    316.2,          4.4
  176,   1737.8,      90,             7.9,    316.6,          4.4
  177,   1745.7,      96,             7.9,      317,          4.5
  178,   1753.3,      96,            7.86,    317.4,          4.5
  179,     1761,      96,            7.84,    317.6,          4.6
  180,   1768.7,      97,            7.78,      318,          3.9
  181,   1776.4,      96,            7.72,    318.4,          4.5
  182,   1784.1,      95,            7.68,    318.6,          3.9
  183,   1791.8,      95,             7.7,      319,          3.2
  184,   1799.7,      96,            7.74,    319.2,          3.2
  185,   1807.4,      96,            7.74,    319.4,          3.2
  186,   1815.1,      98,            7.74,    319.6,          3.2
  187,     1823,     100,            7.78,      320,          3.2
  188,   1830.9,      96,            7.82,    320.2,          3.1
  189,   1839.1,      90,            7.88,    320.4,          2.4
  190,   1847.7,      91,            8.06,    320.6,          2.4
  191,   1856.3,      92,            8.24,    320.8,          2.3
  192,   1864.9,      94,            8.38,      321,          2.3
  193,   1873.4,      88,             8.5,    321.2,          2.3
  194,   1882.2,      86,            8.62,    321.4,          1.7
  195,   1890.9,      87,            8.64,    321.6,          1.7
  196,   1899.5,      87,            8.64,    321.6,          1.7
  197,   1908.1,      89,            8.64,    321.8,          1.7
  198,   1916.6,      96,            8.64,      322,          1.7
  199,   1925.6,      97,            8.68,    322.2,          1.7
  200,   1934.6,      98,            8.74,    322.2,          1.1
  201,   1943.9,      95,            8.88,    322.4,          1.1
  202,     1953,      91,            8.98,    322.4,          1.1
  203,   1962.2,      90,            9.12,    322.6,          0.5
  204,   1971.4,      90,            9.16,    322.6,          1.1
  205,   1981.2,      90,            9.32,    322.6,          0.5
  206,   1990.8,      90,            9.38,    322.8,          0.5
  207,   1999.9,      91,            9.38,    322.8,          0.5
  208,     2009,      91,            9.36,    322.8,            0
  209,   2018.1,      91,            9.34,    322.8,            0
  210,   2027.2,      91,             9.2,    322.8,          0.5
  211,   2036.4,      90,            9.12,    322.8,          0.6
  212,   2045.5,      90,            9.12,      323,          0.6
  213,   2054.4,      90,            9.08,      323,          0.6
  214,   2063.4,      90,            9.06,      323,          0.6
  215,   2072.5,      90,            9.06,      323,          0.5
  216,   2081.8,      90,            9.08,    323.2,          0.5
  217,   2091.1,      89,            9.12,    323.2,          0.5
  218,   2100.3,      90,            9.18,    323.2,            0
  219,   2109.1,      91,            9.14,    323.2,          0.6
  220,   2118.2,      91,            9.14,    323.2,          0.6
  221,   2127.1,      91,            9.06,    323.4,          0.6
  222,   2135.8,      88,            8.94,    323.4,          0.6
  223,   2144.5,      69,            8.84,    323.4,            0
  224,   2153.6,      52,             8.9,    323.4,          0.5
  225,     2163,      34,            8.96,    323.4,          0.5
  226,   2172.3,      88,            9.04,    323.6,          1.1
  227,   2181.7,      90,            9.18,    323.6,          1.1
  228,   2191.3,      90,            9.36,    323.8,          0.5
  229,   2200.8,      55,            9.44,    323.8,          1.1
  230,   2210.2,      74,            9.44,    323.8,          0.5
