 time, distance, watts, cadence, velocity_smooth, altitude,    altitude_smooth, grade_smooth
  337,    693.7,    45,      68,            8.14,    247.7,  246.5111111111111,         -3.5
  338,    701.8,    39,      69,            8.04,    247.5,             246.32,         -3.6
  339,      709,    32,      67,            7.82,    247.2,  246.1181818181818,         -3.7
  340,    716.3,    20,      66,            7.68,    246.9, 245.91666666666663,         -4.1
  341,    723.4,    78,      68,            7.58,    246.6,  245.7153846153846,         -4.3
  342,    731.1,   152,      68,            7.48,    246.3,  245.5142857142857,         -4.5
  343,    739.3,   193,      77,             7.5,    245.9, 245.31333333333333,         -4.8
  344,    747.6,    94,      65,            7.72,    245.5, 244.94666666666666,         -4.8
  345,    756.6,    54,      76,            8.06,      245, 244.56666666666666,         -4.8
  346,    766.4,    17,      78,             8.6,    244.6, 244.18666666666667,         -4.7
  347,    776.5,     9,      47,            9.08,    244.1, 243.80666666666667,         -4.3
  348,    786.3,     0,      66,             9.4,    243.7, 243.43333333333334,         -4.3
  349,    796.4,     0,      70,            9.76,    243.3, 243.05999999999997,         -4.2
  350,      806,     0,      70,            9.88,    242.9, 242.68666666666664,           -4
  351,      815,     0,      70,            9.72,    242.5, 242.32666666666665,         -4.1
  352,    823.7,     0,       0,            9.44,    242.2, 241.98666666666665,           -4
  353,    832.6,     0,       0,            9.26,    241.8, 241.65999999999997,         -3.7
  354,    841.2,     0,       0,            8.96,    241.5, 241.35999999999999,         -3.4
  355,      850,     0,       0,             8.8,    241.2, 241.07333333333332,           -3
  356,    859.3,     0,       0,            8.86,      241, 240.79999999999998,         -3.2
  357,    868.8,   236,      82,            9.02,    240.7, 240.54666666666662,         -2.9
  358,    878.5,   236,      82,            9.18,    240.3, 240.31999999999996,           -3
  359,    887.7,   177,       0,             9.3,    240.1, 240.11999999999995,         -2.9
  360,    895.9,     0,       0,            9.18,    239.9,  239.9466666666666,         -2.1
  361,    903.4,     0,       0,            8.82,    239.7, 239.79333333333324,         -2.3
  362,    911.4,     0,       0,            8.52,    239.6,  239.6599999999999,         -2.3
  363,    918.8,     0,       0,            8.06,    239.4,  239.5466666666666,           -2
  364,    925.9,     0,       0,            7.64,    239.2,  239.4533333333333,         -1.7
  365,    933.4,   309,      74,             7.5,    239.1, 239.38666666666663,         -0.6
  366,    941.5,   755,      78,            7.62,    239.1, 239.33333333333331,            0
  367,    950.4,   808,      83,             7.8,    239.2, 239.29333333333332,          0.3
  368,    960.8,   671,      86,             8.4,    239.2, 239.26666666666668,          0.3
  369,    971.1,   474,      89,            9.04,    239.2, 239.23999999999998,          0.2
  370,    980.8,   187,      31,            9.48,    239.2, 239.22666666666663,          0.2
  371,    991.2,    44,      31,            9.94,    239.3, 239.21999999999997,          0.3
  372,   1001.3,    93,      45,           10.18,    239.3,  239.2133333333333,          0.3
  373,   1010.8,   128,      58,              10,    239.3, 239.20666666666665,            0
  374,   1020.3,    59,      82,            9.84,    239.3, 239.19333333333333,            0
  375,   1029.6,    11,      58,            9.76,    239.3,             239.18,         -0.3
  376,     1039,    79,      79,            9.56,    239.3, 239.16666666666669,         -0.3
  377,   1048.5,    64,     115,            9.44,    239.2, 239.15333333333336,         -0.5
  378,   1057.4,     0,     115,            9.32,    239.2,  239.1266666666667,         -0.8
  379,   1067.1,     0,      45,            9.36,    239.1, 239.10000000000002,         -0.5
  380,   1076.6,     0,      45,             9.4,      239, 239.07333333333335,         -0.5
  381,   1085.5,     0,       0,             9.3,      239, 239.04666666666668,         -0.3
  382,   1094.1,     0,       0,            9.12,      239,             239.02,            0
  383,   1102.7,     0,       0,            9.06,      239, 238.99333333333334,            0
