Equipment ID,Contractor 1,Equipment Designation,Specs Combi,Concat Data,Connector Conditions Concat,Estimated,Hyperlink,Index,Preview?,Max. Equipment Designation
6kMtbKaGilovoM5tkdj3UL,Limited Liability Company Zala Aero,421-16E5 HD,Endurance,6 hr 0 min,,,,1,preview,421-16E5 HD
6kMtbKaGilovoM5tkdj3UL,Limited Liability Company Zala Aero,421-16E5 HD,Max level speed,"60 kt (111 km/h, 69 mph)",,,https://customer.janes.com/display/JUAVB047-JUAV,1,preview,421-16E5 HD
6kMtbKaGilovoM5tkdj3UL,Limited Liability Company Zala Aero,421-16E5 HD,Max level speed,"60 kt (111 km/h, 69 mph)",,,,1,preview,421-16E5 HD
6kMtbKaGilovoM5tkdj3UL,Limited Liability Company Zala Aero,421-16E5 HD,Max payload,5 kg (11 lb),,,https://customer.janes.com/display/JUAVB047-JUAV,1,preview,421-16E5 HD
6kMtbKaGilovoM5tkdj3UL,Limited Liability Company Zala Aero,421-16E5 HD,Max T-O weight,29.5 kg (65 lb),,,https://customer.janes.com/display/JUAVB047-JUAV,1,preview,421-16E5 HD
6kMtbKaGilovoM5tkdj3UL,Limited Liability Company Zala Aero,421-16E5 HD,Operating altitude,"5,000 m (16,405 ft) (maximum)",,,,1,preview,421-16E5 HD
6kMtbKaGilovoM5tkdj3UL,Limited Liability Company Zala Aero,421-16E5 HD,Operating altitude,"500 m (1,640 ft) (minimum)",,,,1,preview,421-16E5 HD
6kMtbKaGilovoM5tkdj3UL,Limited Liability Company Zala Aero,421-16E5 HD,Radius of operation,"150 km (81 nm, 93.2 mi)",,,https://customer.janes.com/display/JUAVB047-JUAV,1,preview,421-16E5 HD
6kMtbKaGilovoM5tkdj3UL,Limited Liability Company Zala Aero,421-16E5 HD,Radius of operation,"150 km (81 nm, 93.2 mi)",,,,1,preview,421-16E5 HD
6kMtbKaGilovoM5tkdj3UL,Limited Liability Company Zala Aero,421-16E5 HD,Service ceiling,"5,000 m (16,405 ft)",,,,1,preview,421-16E5 HD
6kMtbKaGilovoM5tkdj3UL,Limited Liability Company Zala Aero,421-16E5 HD,Wing span,5.3 m (17 ft 4 3/4 in),,,https://customer.janes.com/display/JUAVB047-JUAV,1,preview,421-16E5 HD
6kMtbKaGilovoM5tkdj3UL,Limited Liability Company Zala Aero,421-16E5 HD,Wing span,5.3 m (17 ft 4 3/4 in),,,,1,preview,421-16E5 HD
7CnMqVdcM3NCq7D2o2iop2,LLC Scientific and industrial systems Design Bureau Rise,A-3 Remez,Cruising speed,"31.3 kt (58 km/h, 36 mph)",,,https://customer.janes.com/display/JUAV9242-JUAV,2,preview,A-3 Remez
7CnMqVdcM3NCq7D2o2iop2,LLC Scientific and industrial systems Design Bureau Rise,A-3 Remez,Cruising speed,"31.3 kt (58 km/h, 36 mph)",,,,2,preview,A-3 Remez
7CnMqVdcM3NCq7D2o2iop2,LLC Scientific and industrial systems Design Bureau Rise,A-3 Remez,Endurance,2 hr,,,,2,preview,A-3 Remez
7CnMqVdcM3NCq7D2o2iop2,LLC Scientific and industrial systems Design Bureau Rise,A-3 Remez,Gross wing area,0.48 m² (5.17 sq ft),,,https://customer.janes.com/display/JUAV9242-JUAV,2,preview,A-3 Remez
7CnMqVdcM3NCq7D2o2iop2,LLC Scientific and industrial systems Design Bureau Rise,A-3 Remez,"Length, overall",780 mm (2 ft 6 3/4 in),,,https://customer.janes.com/display/JUAV9242-JUAV,2,preview,A-3 Remez
7CnMqVdcM3NCq7D2o2iop2,LLC Scientific and industrial systems Design Bureau Rise,A-3 Remez,"Length, overall",780 mm (2 ft 6 3/4 in),,,,2,preview,A-3 Remez
7CnMqVdcM3NCq7D2o2iop2,LLC Scientific and industrial systems Design Bureau Rise,A-3 Remez,Max fuel weight,1.5 kg (3 lb 5 oz),,,https://customer.janes.com/display/JUAV9242-JUAV,2,preview,A-3 Remez
7CnMqVdcM3NCq7D2o2iop2,LLC Scientific and industrial systems Design Bureau Rise,A-3 Remez,Max level speed,"56.7 kt (105 km/h, 65.2 mph)",,,https://customer.janes.com/display/JUAV9242-JUAV,2,preview,A-3 Remez
7CnMqVdcM3NCq7D2o2iop2,LLC Scientific and industrial systems Design Bureau Rise,A-3 Remez,Max level speed,"56.7 kt (105 km/h, 65.2 mph)",,,,2,preview,A-3 Remez
7CnMqVdcM3NCq7D2o2iop2,LLC Scientific and industrial systems Design Bureau Rise,A-3 Remez,Max payload,3.0 kg (6 lb 9 3/4 oz),,,https://customer.janes.com/display/JUAV9242-JUAV,2,preview,A-3 Remez
7CnMqVdcM3NCq7D2o2iop2,LLC Scientific and industrial systems Design Bureau Rise,A-3 Remez,Max T-O weight,10.0 kg (22 lb),,,https://customer.janes.com/display/JUAV9242-JUAV,2,preview,A-3 Remez
7CnMqVdcM3NCq7D2o2iop2,LLC Scientific and industrial systems Design Bureau Rise,A-3 Remez,Radius of operation,"5 km (2.7 nm, 3.11 mi) (typical)",,,https://customer.janes.com/display/JUAV9242-JUAV,2,preview,A-3 Remez
7CnMqVdcM3NCq7D2o2iop2,LLC Scientific and industrial systems Design Bureau Rise,A-3 Remez,Radius of operation,"5 km (2.7 nm, 3.11 mi) (typical)",,,,2,preview,A-3 Remez
7CnMqVdcM3NCq7D2o2iop2,LLC Scientific and industrial systems Design Bureau Rise,A-3 Remez,Radius of operation,"20 km (10.8 nm, 12.4 mi) (maximum)",,,https://customer.janes.com/display/JUAV9242-JUAV,2,preview,A-3 Remez
7CnMqVdcM3NCq7D2o2iop2,LLC Scientific and industrial systems Design Bureau Rise,A-3 Remez,Radius of operation,"20 km (10.8 nm, 12.4 mi) (maximum)",,,,2,preview,A-3 Remez
7CnMqVdcM3NCq7D2o2iop2,LLC Scientific and industrial systems Design Bureau Rise,A-3 Remez,Wing aspect ratio,8.3,,,,2,preview,A-3 Remez
7CnMqVdcM3NCq7D2o2iop2,LLC Scientific and industrial systems Design Bureau Rise,A-3 Remez,Wing span,2.00 m (6 ft 6 3/4 in),,,https://customer.janes.com/display/JUAV9242-JUAV,2,preview,A-3 Remez
7CnMqVdcM3NCq7D2o2iop2,LLC Scientific and industrial systems Design Bureau Rise,A-3 Remez,Wing span,2.00 m (6 ft 6 3/4 in),,,,2,preview,A-3 Remez
7CnMqVdcM3NCq7D2o2iop2,Ukrinmash,A-3 Remez,Cruising speed,"31.3 kt (58 km/h, 36 mph)",,,https://customer.janes.com/display/JUAV9242-JUAV,2,preview,A-3 Remez
7CnMqVdcM3NCq7D2o2iop2,Ukrinmash,A-3 Remez,Cruising speed,"31.3 kt (58 km/h, 36 mph)",,,,2,preview,A-3 Remez
7CnMqVdcM3NCq7D2o2iop2,Ukrinmash,A-3 Remez,Endurance,2 hr,,,,2,preview,A-3 Remez
7CnMqVdcM3NCq7D2o2iop2,Ukrinmash,A-3 Remez,Gross wing area,0.48 m² (5.17 sq ft),,,https://customer.janes.com/display/JUAV9242-JUAV,2,preview,A-3 Remez
7CnMqVdcM3NCq7D2o2iop2,Ukrinmash,A-3 Remez,"Length, overall",780 mm (2 ft 6 3/4 in),,,https://customer.janes.com/display/JUAV9242-JUAV,2,preview,A-3 Remez
7CnMqVdcM3NCq7D2o2iop2,Ukrinmash,A-3 Remez,"Length, overall",780 mm (2 ft 6 3/4 in),,,,2,preview,A-3 Remez
7CnMqVdcM3NCq7D2o2iop2,Ukrinmash,A-3 Remez,Max fuel weight,1.5 kg (3 lb 5 oz),,,https://customer.janes.com/display/JUAV9242-JUAV,2,preview,A-3 Remez
7CnMqVdcM3NCq7D2o2iop2,Ukrinmash,A-3 Remez,Max level speed,"56.7 kt (105 km/h, 65.2 mph)",,,https://customer.janes.com/display/JUAV9242-JUAV,2,preview,A-3 Remez
