Max. Equipment Designation,Absolute ceiling,Best glide ratio,Cruising altitude,Cruising speed,Endurance,Fuel with max payload,Gross wing area,"Ground clearance, fuselage","Height, alternate configuration","Height, fuselage","Height, overall",Landing run,"Length, alternate configuration","Length, fuselage","Length, overall",Loitering speed,Max T-O weight,Max certified altitude,Max fuel weight,Max launch weight,Max level speed,Max operating speed,Max payload,Never-exceed speed,Operating altitude,"Operating weight, empty",Payload with max fuel,Propeller diameter,Radius of operation,Range,Rate of climb,Service ceiling,Stalling speed,T-O run,T-O speed,Tailplane span,Weapons bay volume,Weight empty,"Weight empty, equipped","Width, fuselage","Width, overall",Wing aspect ratio,Wing span,g limits
421-16E5 HD,,,,,6 hr 0 min,,,,,,,,,,,,29.5 kg (65 lb),,,,"60 kt (111 km/h, 69 mph) 60 kt (111 km/h, 69 mph)",,5 kg (11 lb),,"5,000 m (16,405 ft) (maximum) 500 m (1,640 ft) (minimum)",,,,"150 km (81 nm, 93.2 mi) 150 km (81 nm, 93.2 mi)",,,"5,000 m (16,405 ft)",,,,,,,,,,,5.3 m (17 ft 4 3/4 in) 5.3 m (17 ft 4 3/4 in),
A-3 Remez,,,,"31.3 kt (58 km/h, 36 mph) 31.3 kt (58 km/h, 36 mph) 31.3 kt (58 km/h, 36 mph) 31.3 kt (58 km/h, 36 mph)",2 hr 2 hr,,0.48 m² (5.17 sq ft) 0.48 m² (5.17 sq ft),,,,,,,,780 mm (2 ft 6 3/4 in) 780 mm (2 ft 6 3/4 in) 780 mm (2 ft 6 3/4 in) 780 mm (2 ft 6 3/4 in),,10.0 kg (22 lb) 10.0 kg (22 lb),,1.5 kg (3 lb 5 oz) 1.5 kg (3 lb 5 oz),,"56.7 kt (105 km/h, 65.2 mph) 56.7 kt (105 km/h, 65.2 mph) 56.7 kt (105 km/h, 65.2 mph) 56.7 kt (105 km/h, 65.2 mph)",,3.0 kg (6 lb 9 3/4 oz) 3.0 kg (6 lb 9 3/4 oz),,,,,,"5 km (2.7 nm, 3.11 mi) (typical) 5 km (2.7 nm, 3.11 mi) (typical) 20 km (10.8 nm, 12.4 mi) (maximum) 20 km (10.8 nm, 12.4 mi) (maximum) 5 km (2.7 nm, 3.11 mi) (typical) 5 km (2.7 nm, 3.11 mi) (typical) 20 km (10.8 nm, 12.4 mi) (maximum) 20 km (10.8 nm, 12.4 mi) (maximum)",,,,,,,,,,,,,8.3 8.3,2.00 m (6 ft 6 3/4 in) 2.00 m (6 ft 6 3/4 in) 2.00 m (6 ft 6 3/4 in) 2.00 m (6 ft 6 3/4 in),
A1-S,,,,"35.1 kt (65 km/h, 40.4 mph) 35.1 kt (65 km/h, 40.4 mph)",3 hr 0 min,,,,,,,,,,900 mm (2 ft 11 1/2 in) 900 mm (2 ft 11 1/2 in),,5.5 kg (12 lb),,,,"54 kt (100 km/h, 62.1 mph) 54 kt (100 km/h, 62.1 mph)",,,,80 m (262 ft) (Min; cruising),,,,,"50 km (27 nm, 31.1 mi) (minimum, real-time imagery link) 50 km (27 nm, 31.1 mi) (minimum, real-time imagery link) 200 km (108 nm, 124 mi) (maximum, AV) 200 km (108 nm, 124 mi) (maximum, AV)",,"2,500 m (8,200 ft)",,,,,,,,,,,2 m (6 ft 6 3/4 in) 2 m (6 ft 6 3/4 in),
A1-SM,,,,"35.1 kt (65 km/h, 40.4 mph) 35.1 kt (65 km/h, 40.4 mph)",3 hr 0 min,,,,,,,,,,900 mm (2 ft 11 1/2 in) 900 mm (2 ft 11 1/2 in),,5.5 kg (12 lb),,,,"54 kt (100 km/h, 62.1 mph) 54 kt (100 km/h, 62.1 mph)",,,,80 m (262 ft) (Min; cruising),,,,,"50 km (27 nm, 31.1 mi) (minimum, real-time imagery link) 50 km (27 nm, 31.1 mi) (minimum, real-time imagery link) 200 km (108 nm, 124 mi) (maximum, AV) 200 km (108 nm, 124 mi) (maximum, AV)",,"2,500 m (8,200 ft)",,,,,,,,,,,2 m (6 ft 6 3/4 in),
ACS-3,"4,500 m (14,765 ft)",,,"59.4 kt (110 km/h, 68.4 mph) 59.4 kt (110 km/h, 68.4 mph)","18 hr 0 min (min, max payload) 28 hr 0 min (max)",,0.9 m² (9.69 sq ft),,,,320 mm (1 ft 1/2 in) 320 mm (1 ft 1/2 in),,,,1.83 m (6 ft) 1.83 m (6 ft),,20 kg (44 lb),,,,"75.6 kt (140 km/h, 87 mph) 75.6 kt (140 km/h, 87 mph)",,7 kg (15 lb),,,,,,"100 km (54 nm, 62.1 mi) (high-definition video transmission) 100 km (54 nm, 62.1 mi) (high-definition video transmission) 120 km (64.8 nm, 74.6 mi) (telemetry with video, direct control mode) 120 km (64.8 nm, 74.6 mi) (telemetry with video, direct control mode)","2,500 km (1,350 nm, 1,555 mi) (max, automatic flight mode) 2,500 km (1,350 nm, 1,555 mi) (max, automatic flight mode)",,"3,500 m (11,485 ft)","43.2 kt (80 km/h, 49.7 mph)",,,,,11 kg (24 lb),,,,,2.96 m (9 ft 8 1/2 in) 2.96 m (9 ft 8 1/2 in),
ALBA,,,"1,500 m (4,920 ft) 1,500 m (4,920 ft)",,1 hr 0 min 1 hr 0 min,,,,,,,,,,1.80 m (5 ft 10 3/4 in) 1.80 m (5 ft 10 3/4 in),"76 kt (141 km/h, 87.5 mph) 76 kt (141 km/h, 87.5 mph)",25 kg (55 lb) 25 kg (55 lb),,,,,,3 kg (6 lb 9 3/4 oz) (internal) 3 kg (6 lb 9 3/4 oz) (internal),"162 kt (300 km/h, 186 mph) 162 kt (300 km/h, 186 mph)",,,,,"60 km (32.4 nm, 37.2 mi) 60 km (32.4 nm, 37.2 mi) 60 km (32.4 nm, 37.2 mi) 60 km (32.4 nm, 37.2 mi)",,,,"54 kt (100 km/h, 62.2 mph) 54 kt (100 km/h, 62.2 mph)",,,,,,12 kg (26 lb) 12 kg (26 lb),,,,2.23 m (7 ft 3 3/4 in) 2.23 m (7 ft 3 3/4 in),
ALBA Plus,,,"1,500 m (4,920 ft) 1,500 m (4,920 ft)",,1 hr 30 min 1 hr 30 min,,,,,,,,,,1.80 m (5 ft 10 3/4 in) 1.80 m (5 ft 10 3/4 in) 1.80 m (5 ft 10 3/4 in) 1.80 m (5 ft 10 3/4 in),,30 kg (66 lb) 30 kg (66 lb),,,,,,5 kg (11 lb) (internal) 5 kg (11 lb) (internal),"146.7 kt (271 km/h, 168 mph) 146.7 kt (271 km/h, 168 mph)",,,,,"60 km (32.4 nm, 37.2 mi) 60 km (32.4 nm, 37.2 mi) 60 km (32.4 nm, 37.2 mi) 60 km (32.4 nm, 37.2 mi)",,,,,,,,,,,,,,2.23 m (7 ft 3 3/4 in) 2.23 m (7 ft 3 3/4 in) 2.23 m (7 ft 3 3/4 in) 2.23 m (7 ft 3 3/4 in),
ALIACA ER,,,,"35 kt (64.8 km/h, 40.3 mph) (typical) 52 kt (96.3 km/h, 59.8 mph) (max)",6 hr 0 min,,,,,,,,,,2.2 m (7 ft 2 1/2 in),,16 kg (35 lb),,,,,,1.1 kg (2 lb 6 3/4 oz),,150 m (492 ft) (cruising),,,,,"100 km (54  nm, 62.1 mi)",,"3,000 m (9,845 ft) (above mean sea level)",,,,,,,,,,,3.6 m (11 ft 9 3/4 in),
ALIACA EVO,,,,"35 kt (64.8 km/h, 40.3 mph) (typical) 52 kt (96.3 km/h, 59.8 mph) (max)",3 hr 0 min,,,,,,,,,,1.85 m (6 ft 3/4 in),,12 kg (26 lb),,,,,,1.1 kg (2 lb 6 3/4 oz),,150 m (492 ft) (cruising),,,,,"50 km (27 nm, 31.1 mi) (max)",,"3,000 m (9,845 ft) (above mean sea level)",,,,,,,,,,,3 m (9 ft 10 in),
ALTIUS-600,,,,"60 kt (111 km/h, 69 mph) 60 kt (111 km/h, 69 mph)",4 hr 0 min (typical),,,,,,,,,,1.02 m (3 ft 4 1/4 in) 1.02 m (3 ft 4 1/4 in),,12.25 kg (27 lb),,,,,,3.2 kg (7 lb 1 oz),,,,,,,"440 km (237.6 nm, 273 mi) 440 km (237.6 nm, 273 mi)",,,,,,,,,,,150 mm (6 in) 150 mm (6 in),,2.54 m (8 ft 4 in) 2.54 m (8 ft 4 in),
