Max. Equipment Designation,Best glide ratio,Cruising altitude,Fuel with max payload,"Ground clearance, fuselage","Height, alternate configuration","Height, fuselage","Height, overall",Landing run,"Length, alternate configuration","Length, fuselage",Max certified altitude,Max fuel weight,Max launch weight,Propeller diameter,T-O run,T-O speed,Tailplane span,Weapons bay volume,"Weight empty, equipped","Width, fuselage","Width, overall",Wing aspect ratio,g limits,Absolute ceiling [m],Service ceiling [m],Operating altitude [m],Cruising speed [m/s],Loitering speed [m/s],Max level speed [m/s],Max operating speed [m/s],Never-exceed speed [m/s],Stalling speed [m/s],Rate of climb [m/s],Endurance [h],Gross wing area [m2],Max T-O weight [kg],Max payload [kg],"Operating weight, empty [kg]",Payload with max fuel [kg],Weight empty [kg],"Length, overall [m]",Wing span [m],Radius of operation [km],Range [km]
421-16E5 HD,,,,,,,,,,,,,,,,,,,,,,,,,5000,5000,,,30.87,,,,,6.0,,29.5,5.0,,,,,5.3,150.0,
A-3 Remez,,,,,,,,,,,,1.5 kg (3 lb 5 oz) 1.5 kg (3 lb 5 oz),,,,,,,,,,8.3 8.3,,,,,16.1,,29.17,,,,,2.0,,10.0,3.0,,,,0.78,2.0,5.0,
A1-S,,,,,,,,,,,,,,,,,,,,,,,,,2500,80,18.06,,27.78,,,,,3.0,,5.5,,,,,0.9,2.0,,50.0
A1-SM,,,,,,,,,,,,,,,,,,,,,,,,,2500,80,18.06,,27.78,,,,,3.0,,5.5,,,,,0.9,2.0,,50.0
ACS-3,,,,,,,320 mm (1 ft 1/2 in) 320 mm (1 ft 1/2 in),,,,,,,,,,,,,,,,,4500,3500,,30.56,,38.89,,,22.22,,18.0,,20.0,7.0,,,11.0,1.83,2.96,100.0,2500.0
ALBA,,"1,500 m (4,920 ft) 1,500 m (4,920 ft)",,,,,,,,,,,,,,,,,12 kg (26 lb) 12 kg (26 lb),,,,,,,,,39.1,,,83.34,27.78,,1.0,,25.0,3.0,,,,1.8,2.23,60.0,
ALBA Plus,,"1,500 m (4,920 ft) 1,500 m (4,920 ft)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.47,,,1.5,,30.0,5.0,,,,1.8,2.23,60.0,
ALIACA ER,,,,,,,,,,,,,,,,,,,,,,,,,3000,150,18.01,,,,,,,6.0,,16.0,1.1,,,,2.2,3.6,,100.0
ALIACA EVO,,,,,,,,,,,,,,,,,,,,,,,,,3000,150,18.01,,,,,,,3.0,,12.0,1.1,,,,1.85,3.0,,50.0
ALTIUS-600,,,,,,,,,,,,,,,,,,,,,150 mm (6 in) 150 mm (6 in),,,,,,30.87,,,,,,,4.0,,12.25,3.2,,,,1.02,2.54,,440.0
AQUILA,,,,,,,860 mm (2 ft 9 3/4 in),,,,,,,,,,,,,,,,,,,4500,20.99,,,29.99,,,,2.0,,12.0,,,,8.5,1.4,2.6,,
AR1 Blue Ray,,,,,,,,,,,,,,,,,,,,,,,,,,,15.28,,22.22,,,,,2.0,,5.0,1.5,,,,1.4,1.8,,20.0
AR3,,,,,,,,,,,,,,,,,,,,,,,,,3600,,23.61,,38.89,,,,,16.0,,25.0,4.0,,,14.0,1.9,3.5,,100.0
AR3 Net Ray,,,,,,,,,,,,,,,,,,,,,,,,,4000,,20.83,,33.34,,,15.28,,10.0,,18.0,8.0,,,12.0,1.45,3.2,,
AR3 VTOL,,,,,,,,,,,,,,,,,,,,,,,,,,,25.21,,,,,,,8.0,,25.0,,,,,,,,
ASF 50,,,,,,,,,,,,,,,,,,,,,,,,,5000,,22.22,,36.11,,,,,15.0,,25.0,7.0,,,,,3.9,,50.0
AT-04ap,,,7 kg (15 lb),,,,,,,,,,,,,,,,,,,,,,,2000,,,67.91,,,,,2.0,,16.5,4.0,,,8.9,1.67,2.0,,50.0
AT-04rc,,,7 kg (15 lb),,,,,,,,,,,,,,,,,,,,,,,2000,,,67.91,,,,,2.0,,16.5,4.0,,,8.9,1.67,2.0,,3.7
ATT-01,,,,,,,,50 m (164 ft),,,,,,,30 m (98.4 ft) (prepared terrain) 50 m (164 ft) (unprepared terrain),,,,,,,,+ 2.8 g,,1000,,27.78,,33.34,,,,,0.5,,20.0,5.0,,,,2.2,3.2,2.59,10.0
Ababeel,,,,,,,200 mm (7 3/4 in) 200 mm (7 3/4 in) 200 mm (7 3/4 in) 200 mm (7 3/4 in),,,,,,,280 mm (11 in) 280 mm (11 in),,,600 mm (1 ft 11 1/2 in) 600 mm (1 ft 11 1/2 in) 600 mm (1 ft 11 1/2 in) 600 mm (1 ft 11 1/2 in),,,,,,,,,,,,48.61,,,,,0.25,,28.0,,,,,1.41,1.6,,1.5
Ababeel-III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.99,,,,,1.5,,28.0,,,,,2.03,2.54,,50.0
Baykar Bayraktar Mini UAV,,,,,,,200 mm (7 3/4 in) 200 mm (7 3/4 in),,,,"4,000 m (13,125 ft)",,,,,,,,,,,,,,,610,15.43,,20.58,,,,,1.0,,5.0,1.0,,,,1.2,2.45,,15.0
Berkut-1E,,,,,,,240 mm (9 1/2 in) 240 mm (9 1/2 in),,,,,,,,,,,,,,,,,,1500,100,15.28,,,,,,,1.17,,6.0,,,,,1.25,2.3,15.0,15.0
Berkut-2E,,,,,,,320 mm (1 ft 1/2 in) 320 mm (1 ft 1/2 in),,,,,,,,,,,,,,,,,,3000,100,22.22,,,30.56,,,,2.0,,10.0,,,,,1.3,2.9,,35.0
Biodrone,,,,,,,,,,,,,,,,,,,,,,,,,1500,100,16.67,9.98,33.34,,,,,1.67,,12.0,1.2,8.5,,,1.8,3.4,10.0,
Bird Eye 650,,,,,,,,,,,,,,,,,,,,,,,,,,457,,20.58,36.01,,,,,4.0,,11.0,1.2,,,,,3.0,50.0,20.0
Bird Eye 650D,,,,,,,,,,,,,,,,,,,,,,,,,4570,,,20.58,41.16,,,,,15.0,,30.0,5.5,,,,,4.0,,150.0
BirdEye 400,,,,,,,,,,,,,,,,,,,,,,,,,,152,,,30.87,,,,,1.5,,5.8,1.2,,,,0.8,2.2,20.0,
Blik-M,,,,,,,,,,,,,,,,,,,,,,,,,,6000,69.45,,138.9,,,,,0.5,,30.0,,,,,3.35,2.47,124.0,
Border Eagle Mk-2,,,,,,,480 mm (1 ft 7 in) 480 mm (1 ft 7 in),,,,,,,,,,,,,,,,,,,,29.43,,44.45,,,,,6.0,,15.0,4.0,,,9.0,1.17,3.1,,
Borey 10,,,,,,,260 mm (10 1/4 in) 260 mm (10 1/4 in),,,,,,,,,,,,,,,,,,3500,600,15.95,,29.84,,,,11.0,4.0,,15.0,2.0,,,,0.76,3.57,250.0,
Borey 20,,,,,,,350 mm (1 ft 1 3/4 in),,,,,,,,,,,,,,,,,,3500,,20.06,,29.84,,,,4.02,5.0,,26.0,4.0,,,8.7,0.88,4.37,400.0,120.0
CH-802,,,,,,,,,,,,,,,,,,,,,,,,,4000,1000,13.89,,25.21,,,,,1.0,,6.5,1.0,,,,1.8,3.0,15.0,68.5
CH-804,,,,,,,,,,,,,,,,,,,,,,,,,4000,1000,25.21,,33.44,,,,,8.0,,22.0,5.0,,,,,,75.9,800.0
CH-804C,,,,,,,,,,,,,,,,,,,,,,,,,4000,,36.01,,,,,,,4.0,,30.0,4.0,,,,,4.25,,100.0
CH-901,,,,,,,600 mm (1 ft 11 1/2 in) 600 mm (1 ft 11 1/2 in) 600 mm (1 ft 11 1/2 in) 600 mm (1 ft 11 1/2 in),,,,,,,,,,,,,,,,,,2000,1500,19.45,,41.67,,,,,1.0,,9.0,2.0,,,,1.2,2.0,15.0,2.0
