 time, distance, watts, cadence, velocity_smooth, altitude,    altitude_smooth, grade_smooth
    0,        0,      ,      45,               0,     66.3,  66.08888888888887,            0
    1,        0,   100,      45,               0,     66.3,  66.04999999999998,         -2.1
    2,      1.6,   194,      51,             0.8,     66.3,   66.0090909090909,         -1.8
    3,      4.8,   220,      63,             1.6,     66.2,  65.96666666666665,         -1.7
    4,       11,   264,      73,            2.75,     66.1,  65.92307692307692,         -1.8
    5,     17.5,   156,      69,             3.5,       66,  65.87857142857142,         -1.3
    6,     23.9,    52,      53,            4.78,     65.9,  65.83999999999999,         -1.3
    7,     28.7,    52,      47,            5.42,     65.9,  65.76666666666667,         -1.3
    8,     34.1,   136,      49,            5.86,     65.8,  65.68666666666667,         -1.3
    9,     40.1,   228,      54,            5.82,     65.7,  65.60666666666667,         -1.6
   10,     46.6,   228,      59,            5.82,     65.6,  65.52666666666667,         -1.5
   11,     53.7,   183,      63,            5.96,     65.5,  65.45333333333333,         -1.3
   12,     61.5,   141,      65,            6.56,     65.4,  65.38666666666667,         -0.9
   13,     70.1,   146,      65,             7.2,     65.3,  65.32666666666667,         -0.9
   14,     78.3,   134,      67,            7.64,     65.3,              65.26,         -0.9
   15,     86.3,   100,      68,            7.94,     65.2,               65.2,         -0.6
   16,     94.9,    91,      54,            8.24,     65.1,  65.14666666666666,         -0.9
   17,      104,    21,      24,             8.5,     65.1,  65.09333333333332,         -0.6
   18,    112.9,    19,      71,            8.56,       65,  65.04666666666665,         -0.3
   19,    121.6,    28,      71,            8.66,       65,  65.00666666666665,         -0.3
   20,    129.5,    47,      71,            8.64,       65,  64.97333333333331,         -0.3
   21,      137,     0,       0,            8.42,       65,  64.93999999999998,         -0.3
   22,    144.1,    67,      75,            8.02,     64.9,  64.91333333333331,         -0.4
   23,    150.7,    63,      75,            7.56,     64.9,   64.8933333333333,         -0.7
   24,    157.3,   132,      76,            7.14,     64.9,   64.8733333333333,         -0.4
   25,    164.6,   172,      77,            7.02,     64.8,  64.85999999999997,         -0.3
   26,    172.6,   144,      77,            7.12,     64.8,  64.84666666666664,         -0.3
   27,    180.5,   131,      78,            7.28,     64.8,   64.8333333333333,            0
   28,    188.4,   163,      77,            7.54,     64.8,  64.82666666666663,            0
   29,    196.2,   193,      78,            7.78,     64.8,  64.82666666666663,            0
   30,    204.3,   125,      78,            7.94,     64.8,  64.82666666666663,            0
   31,    212.2,   127,      78,            7.92,     64.8,   64.8333333333333,            0
   32,    220.1,   127,      75,            7.92,     64.8,  64.84666666666664,            0
   33,    228.1,   182,      64,            7.94,     64.8,  64.85999999999997,            0
   34,    236.4,   221,      63,            8.04,     64.8,  64.87999999999997,          0.3
   35,    244.6,   240,      64,            8.06,     64.8,  64.89999999999998,          0.3
   36,    253.1,   227,      65,            8.18,     64.9,  64.91999999999999,          0.3
   37,    261.4,   222,      65,            8.26,     64.9,  64.94666666666666,          0.6
   38,    269.8,   216,      66,            8.34,     64.9,  64.97333333333333,          0.3
   39,    277.5,   212,      67,            8.22,       65,                 65,          0.3
   40,    285.5,   224,      67,            8.18,       65,  65.02666666666667,          0.6
   41,    295.8,   224,      68,            8.54,       65,              65.06,          0.3
   42,    304.5,   183,      44,            8.62,     65.1,  65.09333333333333,          0.3
   43,    313.3,   130,      15,             8.7,     65.1,              65.12,          0.6
   44,    321.6,     0,       0,            8.82,     65.1,  65.14666666666668,          0.3
   45,      329,     0,       0,             8.7,     65.2,  65.17333333333333,          0.3
   46,    335.7,     0,       0,            7.98,     65.2,               65.2,          0.4
   47,    341.9,   320,      58,            7.48,     65.2,  65.22666666666666,          0.4
   48,    348.1,   375,      62,            6.96,     65.2,  65.25333333333333,          0.4
   49,    354.7,   309,      65,            6.62,     65.3,  65.27333333333333,          0.4
   50,    362.1,   265,      66,            6.62,     65.3,  65.29333333333332,          0.3
   51,    369.5,   219,      68,            6.76,     65.3,  65.31333333333332,            0
   52,    377.3,   241,      71,            7.08,     65.3,  65.33333333333331,          0.3
   53,    385.9,   180,      72,            7.56,     65.3,  65.35333333333331,          0.3
   54,    394.4,   151,      72,            7.94,     65.4,   65.3733333333333,          0.3
   55,    402.6,    64,      56,             8.1,     65.4,   65.3933333333333,          0.3
   56,    410.6,    49,      22,            8.22,     65.4,  65.40666666666665,            0
   57,    418.6,     0,       0,            8.26,     65.4,  65.42666666666665,            0
   58,    425.4,     0,       0,             7.9,     65.4,  65.44666666666666,          0.4
   59,    431.9,     0,       0,             7.5,     65.4,  65.46666666666665,          0.4
   60,    437.3,     0,       0,            6.94,     65.5,  65.48666666666666,          0.5
   61,    442.7,     0,       0,            6.42,     65.5,               65.5,          0.5
   62,    447.6,     0,       0,             5.8,     65.5,  65.51333333333334,            0
   63,    452.1,     0,       0,            5.34,     65.5,  65.52666666666667,          0.5
   64,    456.7,     0,       0,            4.96,     65.5,              65.54,          0.5
   65,    461.4,     0,       0,            4.82,     65.6,  65.55333333333334,          0.5
   66,      466,     0,       0,            4.66,     65.6,  65.56666666666668,          0.4
   67,    472.4,     0,       1,            4.96,     65.6,  65.57333333333335,            0
   68,    480.4,    39,      22,            5.66,     65.6,  65.58000000000001,            0
   69,    485.1,    75,      43,            5.68,     65.6,  65.58666666666669,            0
   70,    488.9,   150,      48,             5.5,     65.6,  65.60000000000002,            0
   71,    494.1,   160,      50,            5.62,     65.6,  65.61333333333336,            0
   72,    499.5,   175,      57,            5.42,     65.6,   65.6266666666667,            0
   73,      505,   142,      63,            4.92,     65.6,  65.64000000000001,            0
   74,    510.6,    32,      53,             5.1,     65.6,  65.65333333333335,            0
   75,    516.3,     7,      34,            5.48,     65.6,  65.66666666666667,            0
   76,    521.8,     6,      11,            5.54,     65.6,              65.68,          0.5
   77,    526.5,     0,       0,             5.4,     65.6,  65.69333333333333,          0.6
   78,    530.3,     0,       0,            5.06,     65.7,  65.70666666666666,          1.3
   79,    533.7,     0,       0,            4.62,     65.7,  65.71999999999998,          1.5
   80,    537.3,     0,       0,             4.2,     65.8,  65.73333333333332,          0.9
   81,    540.1,     0,       0,            3.66,     65.8,  65.74666666666664,          0.9
   82,    541.9,     0,       0,            3.08,     65.8,  65.75999999999998,            0
   83,    543.2,     0,       0,            2.58,     65.8,   65.7733333333333,            0
   84,    544.7,     0,       0,             2.2,     65.8,  65.78666666666663,            0
   85,    546.5,     0,       0,            1.84,     65.8,   65.7933333333333,            0
   86,    547.7,     0,       0,            1.52,     65.8,  65.79999999999995,            0
   87,    548.5,     0,       1,            1.32,     65.8,  65.80666666666663,            0
   88,      549,     0,       5,            1.16,     65.8,  65.81333333333329,          1.1
   89,    549.9,    21,       8,            1.04,     65.8,  65.81999999999996,            1
   90,    550.7,    29,      11,            0.84,     65.8,  65.82666666666663,            1
   91,    550.8,    38,      15,            0.62,     65.8,   65.8333333333333,          1.1
   92,    550.8,    47,      18,            0.46,     65.8,  65.83999999999996,          1.1
   93,    550.8,    56,      22,            0.36,     65.8,  65.84666666666664,          1.1
   94,    550.8,    65,      25,            0.18,     65.8,   65.8533333333333,            1
   96,    551.1,    83,      32,            0.06,     65.9,  65.85999999999997,          0.9
   97,    552.2,    91,      35,            0.28,     65.9,  65.86666666666663,            1
   98,      553,   100,      39,            0.44,     65.9,   65.8733333333333,            1
   99,    553.6,   109,      42,            0.56,     65.9,  65.87999999999997,          0.9
  100,    553.9,   118,      45,           0.517,     65.9,  65.88666666666664,          0.9
  101,    553.9,   127,      49,            0.56,     65.9,   65.8933333333333,            1
  102,    553.9,   136,      52,            0.34,     65.9,  65.89999999999998,          0.9
