 time, distance, cadence, velocity_smooth, altitude,    altitude_smooth, grade_smooth
    0,      9.6,      70,               0,     61.6,  61.51111111111111,         -1.1
    1,     19.1,      70,               0,     61.4,               61.5,         -0.7
    2,     28.6,      71,               0,     61.4,  61.49090909090909,         -0.5
    3,     38.3,      63,               0,     61.4,  61.48333333333333,          0.5
    4,     47.8,      63,               0,     61.4,  61.47692307692307,          0.5
    5,     57.2,      63,           9.518,     61.6,  61.47142857142857,          0.5
    6,     66.7,       0,           9.516,     61.6,  61.46666666666666,          0.5
    7,     76.1,       0,           9.496,     61.6, 61.453333333333326,         -0.5
    8,     85.4,       0,           9.426,     61.6, 61.453333333333326,         -0.5
    9,     94.7,       0,           9.366,     61.4, 61.453333333333326,         -0.5
   10,    104.1,       0,           9.382,     61.4,  61.43999999999999,         -0.5
   11,    113.8,      70,           9.414,     61.4,  61.42666666666666,            0
   12,    123.5,      70,           9.476,     61.4,  61.38666666666666,            0
   13,    132.7,      70,           9.446,     61.4, 61.346666666666664,            0
   14,    142.2,      71,           9.506,     61.4,  61.30666666666666,            0
   15,    151.9,      71,           9.566,     61.4,  61.26666666666666,            0
   16,    161.6,      71,           9.556,     61.4, 61.239999999999995,         -0.5
   17,      171,      71,           9.514,     61.4,  61.21333333333333,         -0.5
   18,    180.5,      71,           9.564,     61.2,  61.18666666666666,         -1.1
   19,      190,      71,           9.566,     61.2,              61.16,         -1.1
   20,    199.4,      71,           9.506,       61,  61.13333333333333,         -0.5
   21,    208.8,       0,           9.442,       61,  61.10666666666667,         -0.5
   22,      218,       0,           9.392,       61,  61.06666666666667,            0
   23,      227,       0,           9.306,       61, 61.026666666666664,            0
   24,    236.2,       0,           9.226,       61, 60.986666666666665,            0
   25,    245.3,       0,           9.168,       61, 60.959999999999994,            0
   26,    254.1,       0,           9.076,       61, 60.933333333333316,            0
   27,    262.9,       0,            8.98,       61,  60.91999999999998,            0
   28,    271.8,       0,           8.956,       61, 60.906666666666645,         -0.6
   29,    280.5,       0,           8.872,       61,  60.89333333333331,         -0.6
   30,    289.4,       0,           8.828,     60.8, 60.879999999999974,         -0.6
   31,    297.9,       0,           8.742,     60.8,  60.86666666666664,         -0.6
   32,    306.6,       0,           8.744,     60.8,   60.8533333333333,            0
   33,    314.8,       0,           8.598,     60.8,  60.83999999999996,            0
   34,    322.8,       0,            8.46,     60.8, 60.826666666666625,            0
   35,    331.1,       0,           8.332,     60.8,  60.81333333333329,            0
   36,    339.4,       0,           8.306,     60.8, 60.799999999999955,            0
   37,    347.7,       0,           8.216,     60.8,  60.81333333333329,            0
   38,    355.9,       0,           8.212,     60.8, 60.826666666666625,            0
   39,    363.7,       0,           8.166,     60.8,  60.83999999999996,            0
   40,    371.7,       0,            8.13,     60.8,   60.8533333333333,            0
   41,    379.6,       0,            8.04,     60.8,  60.86666666666664,            0
   42,    387.3,       0,           7.918,     60.8, 60.879999999999974,            0
   43,    395.2,       0,           7.874,     60.8,  60.89333333333331,          0.7
   44,    402.9,       0,           7.854,     60.8, 60.906666666666645,          0.7
   45,    410.3,       0,           7.718,       61,  60.91999999999998,          0.7
   46,    417.7,       0,           7.622,       61, 60.933333333333316,          0.7
   47,    424.9,       0,           7.526,       61,  60.94666666666665,            0
   48,    432.2,       0,           7.404,       61, 60.959999999999994,            0
   49,    439.9,      59,           7.388,       61,  60.97333333333333,            0
   50,    447.1,      59,           7.368,       61, 60.986666666666665,            0
   51,    454.7,      60,           7.396,       61, 61.026666666666664,            0
   52,    462.3,      60,           7.474,       61,  61.05333333333333,            0
   53,    469.9,      60,           7.532,       61,              61.08,            0
   54,    477.8,      60,           7.592,       61,  61.10666666666666,            0
   55,    485.4,      61,            7.65,       61, 61.133333333333326,            0
   56,    493.2,      61,           7.714,       61,  61.15999999999999,            0
   57,    501.4,      63,           7.818,       61,  61.18666666666665,          1.2
   58,    509.9,      64,            7.99,       61, 61.213333333333324,          1.2
   59,    518.2,      66,           8.068,     61.4,  61.23999999999999,          1.2
   60,    526.8,      67,           8.276,     61.4,  61.26666666666665,          1.2
   61,    535.2,      67,             8.4,     61.4, 61.293333333333315,            0
   62,    543.5,      67,           8.416,     61.4,  61.31999999999998,            0
   63,    551.9,       0,           8.402,     61.4,  61.34666666666665,            0
   64,      560,       0,           8.368,     61.4,  61.37333333333331,            0
   65,    567.6,       0,           8.166,     61.4,  61.39999999999998,            0
   66,    575.9,       0,           8.134,     61.4,  61.39999999999998,            0
   67,    583.5,       0,               8,     61.4,  61.39999999999998,            0
   68,    591.4,       0,           7.906,     61.4,  61.41333333333331,            0
   69,      599,       0,           7.802,     61.4,  61.42666666666665,            0
   70,    606.5,       0,            7.78,     61.4,  61.43999999999998,            0
   71,    614.4,       0,            7.69,     61.4, 61.453333333333326,            0
   72,    621.6,       0,           7.634,     61.4,  61.46666666666666,            0
   73,    629.1,       0,           7.534,     61.4,              61.48,            0
   74,    636.3,       0,           7.448,     61.4,  61.49333333333333,          0.7
   75,    643.4,       0,           7.372,     61.4, 61.519999999999996,          0.7
   76,    650.5,       0,           7.234,     61.6,  61.54666666666666,          0.7
   77,      658,       0,           7.282,     61.6,  61.57333333333333,          0.7
   78,    665.2,       0,           7.222,     61.6, 61.599999999999994,            0
   79,    672.4,      55,           7.224,     61.6,  61.63999999999999,            0
   80,      679,      58,            7.13,     61.6,  61.67999999999999,            0
   81,    686.4,      58,            7.17,     61.6,              61.72,          0.7
   82,    693.8,      58,           7.152,     61.6,              61.76,          0.7
   83,    701.1,      58,           7.194,     61.8,  61.78666666666666,          0.7
   84,    708.2,      58,           7.158,     61.8, 61.813333333333325,          0.7
   85,    715.5,      60,           7.304,     61.8,  61.85333333333333,          0.7
   86,    723.1,      60,           7.352,     61.8,  61.89333333333333,          0.6
   87,    731.3,      61,            7.49,       62,  61.93333333333333,          0.6
   88,      739,      52,           7.574,       62, 61.986666666666665,          0.6
   89,    746.3,      52,           7.634,       62,  62.03999999999999,            0
   90,    753.9,      52,           7.676,       62,              62.08,            0
