 time, distance, cadence, velocity_smooth, altitude,    altitude_smooth, grade_smooth
    0,        0,     102,               0,     75.5,  75.24444444444444,         -0.5
    1,     10.6,     106,               0,     75.5,              75.19,         -0.6
    2,     21.5,     100,               0,     75.4,  75.13636363636364,         -0.4
    3,     32.8,     103,               0,     75.3,             75.075,         -0.6
    4,     44.8,      96,               0,     75.3,  75.00769230769231,         -0.6
    5,     57.4,      97,               0,     75.2,  74.94285714285715,         -0.6
    6,     69.9,     101,          11.852,     75.1,  74.88000000000001,         -0.8
    7,     82.8,     103,          12.258,       75,  74.77333333333334,         -0.9
    8,     96.5,     107,           12.73,     74.9,  74.66666666666669,         -0.9
    9,    110.3,     103,          13.096,     74.7,              74.56,         -1.1
   10,    124.6,     103,          13.442,     74.6,  74.46000000000001,         -1.2
   11,    138.8,     103,           13.78,     74.4,              74.36,         -1.1
   12,      153,      72,          14.038,     74.2,  74.26666666666667,         -1.1
   13,    167.2,      51,          14.148,     74.1,              74.18,         -0.9
   14,    181.2,     103,           14.18,       74,               74.1,         -0.5
   15,    195.2,     103,          14.118,     73.9,  74.02666666666666,         -0.5
   16,    209.4,      97,           14.12,     73.9,  73.96666666666665,         -0.4
   17,    223.5,      98,          14.096,     73.8,  73.91333333333333,         -0.2
   18,    237.7,      98,          14.092,     73.8,  73.87999999999998,         -0.2
   19,    251.9,      86,           14.14,     73.8,  73.85999999999999,            0
   20,      266,      86,          14.168,     73.8,  73.83999999999999,            0
   21,    279.9,      86,          14.108,     73.8,  73.82666666666665,            0
   22,    293.8,       0,           14.06,     73.8,  73.81999999999998,            0
   23,    307.5,       0,           13.95,     73.8,   73.8133333333333,            0
   24,      321,       0,          13.826,     73.8,  73.81999999999998,          0.2
   25,    334.6,      93,          13.706,     73.8,  73.82666666666665,          0.2
   26,    348.3,      93,          13.664,     73.9,  73.83999999999999,            0
   27,      362,     100,           13.63,     73.9,  73.85333333333332,            0
   28,    375.5,     100,          13.604,     73.8,              73.86,         -0.2
   29,    389.4,     101,           13.68,     73.8,  73.87333333333335,         -0.2
   30,    403.5,     101,          13.792,     73.8,  73.89333333333335,          0.2
   31,    417.2,      91,          13.798,     73.8,  73.92666666666668,          0.2
   32,    431.1,     102,          13.826,     73.9,  73.97333333333334,          0.4
   33,    444.6,      84,          13.834,     73.9,              74.02,          0.4
   34,    458.3,      48,          13.776,       74,  74.07999999999998,            0
   35,      472,      48,          13.696,       74,              74.16,          0.2
   36,    485.6,      48,          13.668,     73.9,  74.25999999999999,          0.2
   37,      499,     101,          13.574,       74,  74.37333333333332,          0.6
   38,    512.7,     101,          13.606,     74.1,               74.5,          1.1
   39,    526.3,     101,            13.6,     74.3,  74.63333333333334,          1.1
   40,    540.1,     103,          13.616,     74.5,  74.78666666666666,          1.3
