 time, distance, cadence, velocity_smooth, altitude,     altitude_smooth, grade_smooth
    0,     12.2,      98,               0,      2.5,   2.522222222222222,          0.4
    1,     24.1,      97,               0,      2.5,                2.51,          0.3
    2,     36.4,      97,               0,      2.6,  2.4999999999999996,            0
    3,     48.7,      97,               0,      2.6,  2.4916666666666663,            0
    4,     60.6,      97,               0,      2.5,  2.4846153846153842,         -0.2
    5,     72.9,      96,               0,      2.5,  2.4857142857142853,         -0.2
    6,     85.2,      96,               0,      2.5,  2.4866666666666664,            0
    7,     97.4,      90,          12.198,      2.5,  2.4866666666666664,         -0.2
    8,    109.5,      90,          12.166,      2.5,  2.4866666666666664,         -0.2
    9,      122,      90,          12.274,      2.4,  2.4799999999999995,         -0.2
   10,    134.1,      91,           12.25,      2.4,   2.473333333333333,         -0.2
   11,    146.4,      92,          12.246,      2.4,   2.473333333333333,          0.2
   12,    159.1,      92,          12.342,      2.4,  2.4666666666666663,          0.2
   13,    172.1,      93,           12.53,      2.5,  2.4599999999999995,          0.2
   14,    184.7,      95,          12.554,      2.5,  2.4533333333333327,          0.2
   15,    198.2,      96,          12.822,      2.5,   2.446666666666666,            0
   16,      212,      98,          13.114,      2.5,   2.446666666666666,            0
   17,    225.6,     100,          13.298,      2.5,  2.4533333333333327,            0
   18,      239,     100,          13.378,      2.5,  2.4599999999999995,         -0.2
   19,    252.5,     101,          13.552,      2.5,  2.4666666666666663,         -0.2
   20,    266.3,     101,          13.612,      2.4,  2.4666666666666663,         -0.2
   21,    279.8,     102,           13.56,      2.4,  2.4599999999999995,         -0.2
   22,    293.9,      96,           13.66,      2.4,  2.4533333333333327,            0
   23,    307.6,      95,           13.72,      2.4,  2.4533333333333327,          0.2
   24,    321.6,      95,          13.828,      2.4,  2.4533333333333327,          0.2
   25,    335.3,      94,          13.802,      2.5,  2.4533333333333327,          0.2
   26,    349.1,      95,          13.862,      2.5,  2.4533333333333327,          0.2
   27,    362.5,      95,           13.73,      2.5,  2.4599999999999995,         -0.2
   28,    376.3,      95,          13.734,      2.5,  2.4666666666666663,         -0.2
   29,    390.3,      95,          13.734,      2.4,   2.473333333333333,            0
   30,      404,      72,          13.746,      2.4,  2.4799999999999995,            0
   31,    417.8,      72,          13.736,      2.5,  2.4866666666666664,          0.2
   32,    431.5,      72,          13.786,      2.5,  2.4866666666666664,          0.2
   33,    444.5,       0,           13.63,      2.5,  2.4866666666666664,            0
   34,    457.3,       0,          13.404,      2.5,  2.4866666666666664,            0
   35,    470.1,       0,          13.214,      2.5,  2.4866666666666664,            0
   36,    483.4,      89,           13.12,      2.5,   2.493333333333333,            0
   37,    496.4,      96,          12.984,      2.5,                 2.5,            0
   38,      510,      96,          13.098,      2.5,   2.493333333333333,            0
   39,    523.4,      97,           13.21,      2.5,  2.4866666666666664,            0
   40,    536.3,      97,          13.248,      2.5,  2.4799999999999995,            0
   41,    549.2,      97,          13.164,      2.5,   2.473333333333333,            0
   42,    562.3,      97,          13.178,      2.5,  2.4599999999999995,            0
   43,      575,      26,          13.018,      2.5,   2.446666666666666,            0
   44,    587.8,      94,           12.89,      2.5,  2.4333333333333322,         -0.2
   45,    600.8,      94,          12.898,      2.5,   2.419999999999999,         -0.2
   46,    613.2,      85,          12.796,      2.4,  2.4066666666666654,         -0.2
   47,    625.7,      93,          12.672,      2.4,  2.3933333333333318,         -0.2
