 time, distance, cadence, velocity_smooth, altitude,     altitude_smooth, grade_smooth
   16,    208.7,      86,          14.216,      2.4,   2.444444444444444,            0
   17,    221.7,      90,          14.198,      2.4,  2.4499999999999997,          0.2
   18,    234.2,      92,           14.08,      2.4,   2.454545454545454,          0.2
   19,    248.2,      93,           14.16,      2.5,   2.458333333333333,          0.2
   20,    262.7,      94,          13.982,      2.5,  2.4615384615384612,          0.2
   21,    276.9,      95,          13.652,      2.5,  2.4642857142857144,         -0.2
   22,    290.6,      95,          13.778,      2.5,   2.466666666666667,         -0.2
   23,    303.5,      93,           13.85,      2.4,  2.4733333333333336,            0
   24,    317.2,      86,          13.802,      2.4,                2.48,            0
   25,    332.1,      83,           13.89,      2.5,   2.486666666666667,          0.2
   26,    344.3,      63,          13.466,      2.5,   2.486666666666667,          0.2
   27,    355.9,      80,          13.056,      2.5,   2.486666666666667,            0
   28,    368.9,      94,          13.074,      2.5,   2.486666666666667,            0
   29,      383,      95,          13.148,      2.5,   2.486666666666667,            0
   30,    397.6,      94,          13.094,      2.5,  2.4933333333333336,            0
   31,    411.3,      95,          13.402,      2.5,  2.5000000000000004,            0
   32,    424.9,      95,          13.792,      2.5,  2.4933333333333336,            0
   33,    438.3,      77,          13.886,      2.5,   2.486666666666667,            0
   34,    451.6,      53,          13.726,      2.5,                2.48,            0
   35,      465,      37,          13.476,      2.5,  2.4733333333333336,            0
   36,    478.4,      89,          13.414,      2.5,                2.46,            0
   37,    491.3,      97,          13.286,      2.5,  2.4466666666666663,            0
   38,    504.4,      98,           13.23,      2.5,  2.4333333333333327,         -0.2
   39,    517.8,      98,          13.246,      2.5,  2.4199999999999995,         -0.2
   40,    530.9,      97,          13.176,      2.4,   2.406666666666666,         -0.2
   41,    543.7,      97,          13.064,      2.4,   2.393333333333332,         -0.2
   42,    555.4,      91,          12.822,      2.4,  2.3799999999999986,         -0.2
   43,    567.9,      92,           12.69,      2.4,  2.3666666666666654,         -0.2
   44,      582,      93,          12.834,      2.3,  2.3533333333333317,         -0.2
   45,    593.7,      93,          12.554,      2.3,   2.339999999999998,         -0.2
   46,    607.5,      89,          12.768,      2.3,   2.326666666666665,            0
   47,    622.3,      61,          13.384,      2.3,   2.326666666666665,            0
