 time, distance, cadence, velocity_smooth, altitude,    altitude_smooth, grade_smooth
   42,    314.7,      22,           5.202,     46.2, 46.277777777777786,          0.5
   43,      320,      43,           5.348,     46.2,  46.28000000000001,          0.4
   44,    325.4,      76,            5.41,     46.3,  46.28181818181819,          0.4
   45,    331.4,      77,           5.526,     46.3,  46.28333333333334,          0.4
   46,    337.7,      65,           5.756,     46.3, 46.292307692307695,            0
   47,    344.3,      46,           5.904,     46.3, 46.300000000000004,            0
   48,    350.5,      27,           6.088,     46.3, 46.306666666666665,            0
   49,    355.9,       8,           6.108,     46.3,              46.32,            0
   50,    360.3,       0,           5.774,     46.3,  46.33333333333333,            0
   51,    363.8,       0,           5.218,     46.3, 46.339999999999996,            0
   52,    367.3,       0,           4.618,     46.3, 46.346666666666664,          0.7
   53,      371,       0,             4.1,     46.3,  46.35333333333333,          0.7
   54,    374.5,       0,           3.712,     46.4,              46.36,          0.7
   55,    378.1,       7,           3.578,     46.4,  46.36666666666667,          0.7
   56,    381.7,      13,            3.58,     46.4, 46.373333333333335,            0
   57,    385.5,      20,            3.63,     46.4,              46.38,            0
   58,    389.6,      25,           3.718,     46.4,  46.38666666666667,            0
   59,    393.9,      30,           3.886,     46.4,  46.39333333333334,            0
   60,    398.5,      33,            4.08,     46.4, 46.400000000000006,            0
   61,    402.9,      35,           4.228,     46.4, 46.400000000000006,            0
   62,    407.5,      39,           4.396,     46.4, 46.400000000000006,            0
   63,    412.1,      69,           4.516,     46.4, 46.400000000000006,            0
   64,    417.8,      63,           4.776,     46.4, 46.400000000000006,            0
   65,    423.6,      58,           5.022,     46.4, 46.400000000000006,            0
   66,    429.3,      59,           5.298,     46.4, 46.400000000000006,            0
   67,    434.9,      60,           5.496,     46.4, 46.400000000000006,            0
   68,    440.8,      62,            5.72,     46.4, 46.400000000000006,            0
   69,    447.4,      63,           5.918,     46.4, 46.400000000000006,            0
   70,    453.2,      64,           5.904,     46.4, 46.400000000000006,            0
   71,    459.3,      64,           5.982,     46.4,  46.40666666666667,            0
   72,      466,      66,           6.206,     46.4,  46.41333333333334,            0
   73,    471.9,      67,           6.224,     46.4,  46.42000000000001,            0
   74,    478.1,      68,           6.146,     46.4, 46.426666666666684,            0
   75,    484.4,      69,           6.244,     46.4,  46.43333333333335,            0
   76,    490.6,      69,           6.262,     46.4,  46.44000000000002,            0
   77,    496.3,      69,           6.062,     46.4,  46.44666666666669,          0.4
   78,    502.7,      63,           6.168,     46.4, 46.453333333333354,          0.4
