 time, distance, cadence, velocity_smooth, altitude,    altitude_smooth, grade_smooth
   38,    223.9,      85,             8.6,     68.2,  68.22222222222223,            0
   39,    233.7,      85,            8.94,     68.2,              68.24,            0
   40,    243.1,      87,               9,     68.2,  68.25454545454545,            0
   41,    252.1,      87,            9.08,     68.2,  68.26666666666667,            0
   42,    260.2,      88,            9.08,     68.2,  68.27692307692307,            0
   43,    269.1,      89,            9.04,     68.2,  68.28571428571428,            0
   44,    279.8,      89,            9.22,     68.2,  68.29333333333332,          0.5
   45,      290,      90,            9.38,     68.2,  68.31999999999998,          0.5
   46,    298.3,      90,            9.24,     68.4,  68.34666666666664,          0.5
   47,    307.5,      90,            9.46,     68.4,  68.37333333333329,          0.5
   48,    316.7,      90,            9.52,     68.4,  68.41333333333328,            0
   49,    326.4,      90,            9.32,     68.4,  68.45333333333329,            0
   50,    335.5,      88,             9.1,     68.4,  68.50666666666662,            0
   51,    344.2,      82,            9.18,     68.4,  68.55999999999995,          0.5
   52,    354.6,      82,            9.42,     68.4,  68.61333333333327,          0.5
   53,    364.6,      81,            9.58,     68.6,   68.6666666666666,          0.5
   54,    373.7,      81,            9.46,     68.6,  68.71999999999994,          1.1
   55,    381.9,      80,            9.28,     68.6,  68.77333333333327,          0.6
   56,    390.2,      80,             9.2,     68.8,  68.83999999999993,          1.1
   57,    400.3,      80,            9.14,     68.8,   68.9066666666666,          1.1
   58,    409.7,      79,            9.02,       69,  68.98666666666661,          0.5
   59,      418,      79,            8.86,       69,   69.0666666666666,          1.2
   60,    426.8,      78,            8.98,       69,   69.1466666666666,          0.6
   61,    434.8,      84,            8.92,     69.2,  69.22666666666662,          0.6
   62,    443.7,      87,            8.68,     69.2,  69.31999999999995,          1.1
   63,    453.1,      87,            8.68,     69.2,  69.39999999999995,          0.6
   64,    461.7,      87,            8.74,     69.4,   69.4933333333333,          1.1
   65,    470.3,      87,             8.7,     69.4,   69.5733333333333,          1.2
   66,    478.8,      85,             8.8,     69.6,   69.6533333333333,          1.2
   67,    487.5,      86,            8.76,     69.6,   69.7333333333333,          1.2
   68,    496.2,      86,            8.62,     69.8,   69.8133333333333,          1.2
   69,    504.9,      86,            8.64,     69.8,   69.8933333333333,          1.1
   70,    513.5,      86,            8.64,       70,  69.98666666666664,          1.1
   71,    522.3,      86,             8.7,       70,  70.06666666666663,          1.1
   72,    531.2,      87,            8.74,     70.2,  70.15999999999998,          0.6
   73,    540.2,      87,             8.8,     70.2,  70.23999999999998,          0.6
   74,    549.2,      88,            8.86,     70.2,  70.30666666666664,          0.6
   75,    558.2,      88,            8.94,     70.2,  70.34666666666665,          0.6
   76,      567,      88,            8.94,     70.4,  70.38666666666667,          1.1
   77,    575.8,      88,            8.92,     70.4,  70.38666666666667,          1.1
   78,    584.7,      89,             8.9,     70.6,  70.35999999999999,          1.1
   79,    593.7,      89,             8.9,     70.6,  70.27999999999999,          1.1
   80,    602.9,      90,            8.94,     70.8,              70.16,            0
   81,    612.3,      91,            9.06,     70.8,  69.98666666666665,         -0.5
   82,    621.7,      93,            9.18,     70.6,  69.77333333333331,         -1.1
   83,    630.3,      80,            9.12,     70.4,  69.49333333333331,         -2.1
   84,    639.2,      60,             9.1,     70.4,  69.17333333333332,         -2.5
   85,    650.4,      54,             9.5,       70,  68.78666666666665,         -3.3
   86,    662.1,      52,            9.96,     69.6,   68.3733333333333,         -4.4
   87,    673.3,      49,           10.32,       69,  67.94666666666664,         -5.1
   88,    685.1,      51,           10.96,     68.4,  67.53333333333332,         -5.4
   89,    697.3,      55,           11.62,     67.6,  67.14666666666665,         -5.8
   90,      710,      72,           11.92,       67,  66.81333333333332,         -5.5
   91,    721.8,      99,           11.94,     66.2,  66.50666666666665,         -5.2
   92,    735.8,      92,            12.5,     65.6,  66.26666666666664,         -4.8
   93,    750.9,      82,           13.16,     64.8,  66.07999999999997,         -3.2
   94,    764.4,      81,           13.42,     64.4,  65.95999999999998,         -1.8
   95,    777.6,      82,           13.52,     64.4,  65.90666666666665,            0
   96,    790.8,      44,            13.8,     64.6,  65.93333333333331,            2
   97,    802.1,      46,           13.26,     64.8,  66.02666666666664,            3
   98,    813.3,      68,           12.48,     65.4,  66.18666666666664,          4.4
   99,    823.8,      79,           11.88,     65.8,  66.39999999999996,          5.4
  100,    831.9,      72,           10.86,     66.4,  66.66666666666664,          5.4
  101,    839.4,      89,            9.72,     66.8,  66.95999999999997,          6.1
  102,    846.5,      89,            8.88,     67.2,  67.26666666666664,          5.7
  103,    853.3,      87,               8,     67.6,  67.55999999999997,          5.8
  104,    860.1,      87,            7.26,       68,  67.83999999999997,          5.1
  105,    866.9,      88,               7,     68.4,  68.06666666666663,          4.3
  106,      874,      92,            6.92,     68.6,  68.26666666666664,          2.8
  107,    881.3,      92,            6.96,     68.8,  68.42666666666665,          1.3
  108,      889,      97,            7.14,     68.8,  68.55999999999997,          1.3
  109,      897,      88,            7.38,     68.8,   68.6533333333333,          0.6
  110,    905.4,      82,             7.7,       69,  68.71999999999997,          0.6
  111,      914,      83,               8,       69,   68.7733333333333,            0
  112,    922.7,      84,            8.28,       69,  68.79999999999997,         -0.6
  113,    931.5,      63,             8.5,     68.8,   68.8133333333333,         -0.6
  114,    939.4,      77,            8.48,     68.8,   68.8133333333333,         -0.6
  115,    948.4,      87,             8.6,     68.8,   68.8133333333333,         -0.6
  116,    958.1,      84,            8.82,     68.8,  68.82666666666664,         -0.5
  117,    967.1,      74,            8.88,     68.6,  68.82666666666664,            0
  118,    976.2,      75,            8.94,     68.6,  68.82666666666664,            0
  119,    985.2,      67,            9.16,     68.8,  68.82666666666664,          0.6
  120,    994.2,      65,            9.16,     68.8,  68.83999999999997,          0.6
  121,   1002.9,      70,            8.96,     68.8,  68.86666666666665,            0
  122,   1011.4,      68,            8.86,     68.8,  68.89333333333333,          0.6
  123,   1019.8,      30,            8.72,     68.8,              68.92,          0.6
  124,   1028.3,      51,            8.62,       69,              68.96,          0.6
  125,   1036.8,      84,            8.52,       69,  68.99999999999999,          0.6
  126,   1045.4,      85,             8.5,       69,  69.03999999999999,            0
  127,   1053.1,      84,            8.34,       69,              69.08,          0.6
  128,   1060.8,      85,             8.2,       69,  69.12000000000002,          0.6
  129,   1070.3,      85,             8.4,     69.2,  69.17333333333335,          0.6
  130,   1079.9,      79,            8.62,     69.2,  69.22666666666667,          0.5
  131,   1088.6,      85,            8.64,     69.2,  69.26666666666667,            0
  132,   1097.2,      85,            8.82,     69.2,              69.32,          0.6
  133,   1105.8,      86,               9,     69.2,  69.37333333333332,          0.6
  134,   1114.8,      85,             8.9,     69.4,  69.42666666666666,          0.6
  135,   1123.6,      85,            8.74,     69.4,  69.47999999999999,          1.2
  136,   1132.1,      64,             8.7,     69.4,  69.53333333333332,          0.6
  137,   1139.6,      73,            8.48,     69.6,  69.58666666666664,          0.6
  138,   1148.1,      79,            8.46,     69.6,  69.65333333333332,          1.2
  139,   1157.3,      72,             8.5,     69.6,  69.71999999999998,          0.6
  140,   1164.8,      78,            8.24,     69.8,  69.78666666666665,          0.6
  141,   1172.3,      81,            8.04,     69.8,  69.83999999999997,          0.6
  142,   1181.2,      81,            8.32,     69.8,  69.90666666666665,          0.6
  143,   1190.1,      81,             8.4,     69.8,  69.97333333333331,          0.6
  144,   1198.2,      81,            8.18,       70,  70.03999999999998,          1.2
  145,   1206.2,      81,            8.28,       70,  70.10666666666664,          1.2
  146,   1214.4,      74,            8.42,     70.2,  70.18666666666665,          0.6
  147,   1222.8,      77,            8.32,     70.2,  70.25333333333332,          0.6
  148,   1231.4,      80,            8.26,     70.2,  70.31999999999998,          0.6
  149,   1238.8,      69,            8.12,     70.2,  70.39999999999999,          0.6
  150,   1246.9,      74,            8.14,     70.4,  70.47999999999999,          1.2
  151,     1256,      68,            8.32,     70.4,  70.54666666666665,          1.2
  152,   1264.5,      85,            8.34,     70.6,  70.62666666666665,          1.2
  153,   1272.8,      84,            8.28,     70.6,  70.69333333333333,          1.3
  154,     1280,      85,            8.24,     70.8,  70.75999999999999,          0.6
  155,   1287.5,      85,            8.12,     70.8,  70.83999999999999,          1.2
  156,   1296.9,      86,            8.18,     70.8,              70.92,          0.6
  157,   1305.8,      87,            8.26,       71,  70.98666666666666,          0.6
  158,   1312.2,      88,            7.88,       71,  71.06666666666666,          1.3
  159,   1318.9,      88,            7.78,       71,  71.13333333333334,          0.6
  160,   1327.9,      89,            8.08,     71.2,  71.21333333333334,          0.6
  161,   1337.2,      89,            8.06,     71.2,              71.28,          1.1
  162,   1345.8,      89,               8,     71.2,  71.34666666666666,          0.6
  163,   1354.4,      88,            8.44,     71.4,  71.42666666666668,          0.6
  164,   1362.3,      88,            8.68,     71.4,  71.49333333333334,          1.3
  165,   1369.7,      89,            8.36,     71.4,  71.57333333333334,          0.7
  166,   1377.1,      89,            7.98,     71.6,  71.65333333333335,          1.3
  167,   1384.6,      89,            7.76,     71.6,  71.73333333333335,          1.3
  168,   1392.4,      89,             7.6,     71.8,  71.81333333333335,          0.6
  169,   1400.6,      89,            7.66,     71.8,  71.90666666666668,          1.2
  170,     1409,      90,            7.86,     71.8,  72.00000000000001,          0.6
  171,   1417.5,      90,            8.08,       72,  72.09333333333335,          1.2
  172,   1424.9,      89,            8.06,       72,  72.20000000000003,          1.2
  173,   1433.3,      88,            8.18,     72.2,  72.30666666666669,          1.3
  174,   1442.1,      88,             8.3,     72.2,  72.42666666666669,          1.3
  175,   1449.2,      88,            8.04,     72.4,  72.53333333333336,          1.3
  176,   1456.3,      89,            7.76,     72.4,  72.65333333333336,            2
  177,   1464.4,      89,             7.9,     72.6,  72.78666666666669,          1.3
  178,   1472.5,      89,            7.84,     72.8,   72.9066666666667,          1.9
  179,   1480.5,      90,            7.68,     72.8,  73.02666666666669,          1.8
  180,   1488.6,      90,            7.88,       73,  73.13333333333335,          1.8
  181,     1497,      91,            8.14,     73.2,  73.25333333333334,          1.7
  182,   1506.7,      91,            8.46,     73.4,  73.34666666666666,          1.7
  183,   1516.3,      91,            8.76,     73.4,  73.45333333333333,          1.7
  184,   1524.9,      90,            8.88,     73.6,  73.54666666666667,          1.2
  185,   1532.5,      90,            8.78,     73.8,  73.61333333333333,          1.2
  186,     1541,      91,             8.8,     73.8,              73.68,          0.6
  187,   1550.1,      91,            8.68,     73.8,              73.72,          0.6
  188,   1558.5,      92,            8.44,     73.8,  73.74666666666666,            0
  189,   1566.9,      94,             8.4,       74,  73.74666666666666,          0.6
  190,   1575.7,      88,            8.64,     73.8,  73.73333333333332,          0.6
  191,   1584.7,      87,            8.74,       74,  73.70666666666666,         -0.6
  192,   1593.7,      89,            8.72,       74,  73.65333333333334,            0
  193,   1601.8,      90,            8.66,     73.8,               73.6,         -1.1
  194,   1609.9,      83,             8.6,     73.8,  73.53333333333333,         -1.1
  195,   1620.1,      89,            8.88,     73.6,  73.46666666666667,           -1
  196,   1630.5,      84,            9.16,     73.6,  73.37333333333332,         -1.5
  197,   1640.1,      62,            9.28,     73.4,              73.28,           -1
  198,   1648.9,      53,            9.42,     73.2,  73.17333333333335,         -1.6
  199,   1658.8,      47,            9.78,     73.2,  73.05333333333334,         -1.1
  200,   1668.1,      47,             9.6,       73,  72.93333333333335,           -1
  201,     1678,      49,             9.5,       73,  72.81333333333335,           -1
  202,   1688.5,      59,            9.68,     72.8,  72.69333333333336,           -1
  203,   1698.1,      69,            9.84,     72.8,  72.56000000000002,         -1.5
  204,   1707.7,      53,            9.78,     72.6,  72.44000000000003,           -1
  205,   1717.2,      50,            9.82,     72.4,  72.32000000000002,         -1.6
  206,   1726.6,      51,            9.72,     72.4,  72.20000000000003,         -1.7
  207,   1734.7,      54,            9.24,     72.2,  72.09333333333338,         -1.1
  208,   1743.8,      67,            9.14,       72,  71.98666666666671,         -1.7
  209,   1753.5,      75,            9.16,       72,  71.90666666666671,         -1.7
  210,   1761.8,      82,            8.92,     71.8,  71.85333333333338,         -1.1
  211,   1770.4,      82,            8.76,     71.6,   71.8266666666667,         -1.6
  212,   1781.2,      66,             9.3,     71.6,  71.81333333333336,           -1
  213,   1791.9,      56,            9.62,     71.4,  71.81333333333336,         -0.5
  214,     1801,      48,             9.5,     71.4,  71.84000000000002,         -0.5
  215,   1809.7,      38,            9.58,     71.4,  71.88000000000002,          0.6
  216,   1817.8,      61,            9.48,     71.4,  71.93333333333335,          1.9
  217,   1825.5,      93,            8.86,     71.6,  72.00000000000001,          2.7
  218,   1833.1,      92,            8.24,       72,  72.08000000000001,          2.8
  219,   1839.7,      91,            7.74,     72.2,  72.16000000000003,          2.8
  220,   1846.4,      92,            7.34,     72.2,  72.25333333333336,          2.1
  221,   1853.8,      95,             7.2,     72.4,  72.33333333333336,          1.3
  222,   1861.2,      99,            7.14,     72.6,  72.40000000000003,          1.9
  223,     1870,     104,            7.38,     72.6,  72.45333333333336,          1.2
  224,   1878.2,      98,             7.7,     72.8,   72.4666666666667,          0.6
  225,     1887,      81,            8.12,     72.8,  72.44000000000003,          0.6
  226,   1896.5,      78,            8.54,     72.8,   72.3866666666667,            0
  227,   1904.5,      83,            8.66,     72.8,  72.32000000000002,         -0.5
  228,   1914.4,      86,            8.88,     72.8,   72.2266666666667,           -1
  229,   1924.3,      90,            9.22,     72.6,  72.10666666666671,         -1.4
  230,     1935,      89,             9.6,     72.4,  71.97333333333337,         -2.2
  231,   1947.3,      79,           10.16,     72.2,  71.81333333333338,         -2.2
  232,     1959,      37,            10.9,     71.8,  71.65333333333339,         -2.2
