 time, distance, cadence, velocity_smooth, altitude,    altitude_smooth, grade_smooth
   29,    117.9,      34,            3.25,    383.8,  383.9555555555555,          1.4
   30,    121.4,      33,           3.346,    383.8, 383.97999999999996,          1.3
   31,    125.7,      27,           3.568,    383.8,                384,          1.2
   32,    129.7,      26,           3.594,      384, 384.01666666666665,          1.2
   33,    134.1,      25,           3.846,      384,  384.0307692307692,          1.1
   34,    138.4,      25,             4.1,      384,  384.0571428571428,            0
   35,    144.5,      25,           4.622,      384,  384.0799999999999,          1.1
   36,    149.5,      25,           4.752,      384, 384.13333333333327,            1
   37,      153,      53,           4.662,    384.2, 384.19999999999993,          1.1
   38,    157.8,      60,           4.742,    384.2,  384.2666666666666,          1.1
   39,    162.5,      46,           4.826,    384.2, 384.33333333333326,            0
   40,    167.2,      32,           4.554,    384.2,  384.3999999999999,          0.8
   41,    174.1,      50,           4.932,    384.2,  384.4799999999999,          0.8
   42,    181.4,      61,           5.684,    384.4,  384.5599999999999,          1.6
   43,    187.2,      58,           5.882,    384.4, 384.65333333333325,          2.6
   44,    191.5,      60,             5.8,    384.6, 384.73333333333323,          1.8
   45,    197.3,      61,           6.012,    384.8,  384.8133333333332,          2.7
   46,    203.3,      64,           5.824,    384.8,  384.9066666666666,          1.7
   47,    209.1,      63,           5.538,      385, 384.99999999999994,          1.7
   48,    214.6,      64,           5.488,      385,  385.0933333333333,          1.7
   49,    221.2,      64,            5.93,    385.2, 385.18666666666667,          1.6
   50,    227.3,      64,           6.008,    385.2, 385.28000000000003,          1.6
   51,    233.5,      65,           6.052,    385.4,             385.36,          0.8
   52,    239.6,      64,           6.094,    385.4,             385.44,          1.8
   53,    244.7,      62,           6.018,    385.4, 385.52000000000004,          0.9
   54,    249.7,      61,           5.698,    385.6,              385.6,          0.9
   55,    255.1,      61,           5.562,    385.6,             385.68,          1.9
   56,    260.9,      62,           5.472,    385.6, 385.74666666666667,          0.9
   57,    265.8,      64,           5.248,    385.8, 385.82666666666665,          0.9
   58,    271.1,      65,           5.274,    385.8,  385.8933333333333,          1.8
   59,    276.9,      67,            5.45,    385.8,             385.96,          0.8
   60,      283,      66,           5.562,      386,             386.04,          1.7
   61,    289.4,      49,           5.712,      386,  386.1066666666667,          1.6
   62,    294.8,      25,             5.8,    386.2, 386.17333333333335,          0.8
   63,    301.5,       1,            6.08,    386.2, 386.25333333333333,          1.9
   64,    306.6,       0,           5.934,    386.2,             386.32,            1
   65,    310.9,       0,           5.592,    386.4,              386.4,          1.2
   66,    314.1,       0,           4.926,    386.4, 386.47999999999996,          2.7
   67,    318.1,       0,           4.658,    386.4,  386.5466666666667,          1.4
   68,    321.7,       0,           4.036,    386.6, 386.62666666666667,          1.4
   69,    325.3,      64,            3.75,    386.6,  386.6933333333333,            3
   70,    328.4,      68,           3.504,    386.6,             386.76,          1.5
   71,    331.4,      69,           3.468,    386.8,             386.84,          2.8
   72,    335.2,      68,           3.412,    386.8, 386.90666666666664,          2.5
   73,    339.5,      65,           3.568,      387,  386.9733333333333,          1.1
   74,    344.4,      52,           3.806,      387, 387.05333333333334,          1.9
   75,      350,      34,           4.322,      387,             387.12,            1
   76,      356,      27,           4.918,    387.2,              387.2,            1
   77,    360.5,      23,           5.068,    387.2,             387.28,          2.3
   78,    364.2,      27,            4.94,    387.2, 387.34666666666664,          1.2
   79,    367.6,      66,           4.644,    387.4,  387.4266666666666,          1.2
   80,      372,      65,             4.4,    387.4,  387.4933333333333,          2.1
   81,    377.8,      64,           4.364,    387.4,             387.56,            1
   82,      383,      65,            4.49,    387.6,             387.64,          1.8
   83,    388.4,      66,           4.826,    387.6, 387.70666666666665,          1.7
   84,      394,      68,           5.278,    387.8, 387.78666666666663,          0.7
   85,    401.3,      68,            5.84,    387.8,  387.8666666666666,          1.3
   86,    410.2,      66,           6.486,    387.8, 387.94666666666666,          0.7
   87,    418.3,      65,           7.058,      388,  388.0266666666667,          0.7
   88,    422.9,      65,           6.916,      388, 388.12000000000006,          1.6
   89,    428.9,      70,           6.984,      388, 388.20000000000005,          0.8
   90,    435.1,      70,           6.772,    388.2, 388.29333333333335,          1.4
   91,    442.4,      36,           6.436,    388.2, 388.38666666666666,          1.5
   92,    450.6,      35,           6.464,    388.4, 388.47999999999996,          1.4
   93,    455.8,      54,           6.574,    388.4, 388.58666666666664,          1.5
   94,    463.2,      72,           6.854,    388.6, 388.67999999999995,          1.6
   95,    468.5,      72,           6.682,    388.6, 388.78666666666663,          1.6
   96,    475.3,      74,           6.574,    388.8,  388.8933333333333,          1.6
   97,    481.2,      76,           6.118,    388.8,                389,          2.3
   98,      488,      76,           6.444,      389,  389.1066666666667,          1.5
   99,    495.1,      76,           6.388,    389.2, 389.20000000000005,          2.3
  100,    501.5,      75,           6.592,    389.2,  389.2933333333334,          1.6
  101,    507.4,      75,           6.422,    389.4,  389.3733333333334,          1.7
  102,    512.8,      76,           6.334,    389.4, 389.45333333333343,          1.7
  103,    519.2,      74,            6.24,    389.6,  389.5200000000001,          1.8
  104,    524.6,      71,           5.898,    389.6, 389.58666666666676,          1.9
