 time, distance, cadence, velocity_smooth, altitude,    altitude_smooth, grade_smooth
  536,   2419.4,      84,           3.708,   2178.6, 2179.9555555555553,            9
  537,   2423.6,      86,           3.792,   2178.9,            2180.13,          8.7
  538,   2427.6,      80,           3.848,   2179.3, 2180.2999999999997,          7.9
  539,   2431.8,      81,           3.968,   2179.6,           2180.475,          8.4
  540,   2435.8,      79,           4.044,   2179.9,  2180.653846153846,          8.3
  541,   2440.2,      81,           4.156,   2180.3, 2180.8357142857144,          8.4
  542,   2444.4,      81,           4.166,   2180.7, 2181.0133333333333,          8.3
  543,   2448.5,      81,           4.186,     2181,  2181.366666666667,          8.3
  544,   2452.8,      82,             4.2,   2181.3,  2181.726666666667,          7.6
  545,   2457.1,      83,           4.254,   2181.7,            2182.08,          8.2
  546,   2461.5,      83,            4.25,     2182,            2182.44,          8.6
  547,   2465.7,      84,           4.244,   2182.4,  2182.806666666667,          8.6
  548,   2470.1,      82,           4.324,   2182.8, 2183.1733333333336,          8.6
  549,   2474.6,      82,            4.37,   2183.2,            2183.54,          8.5
  550,   2478.9,      83,           4.372,   2183.5, 2183.9066666666668,          8.7
  551,   2483.3,      83,           4.358,   2183.9,            2184.28,          8.3
  552,   2487.4,      82,           4.358,   2184.3, 2184.6533333333336,          9.1
  553,   2491.4,      83,            4.26,   2184.6, 2185.0266666666666,          8.9
  554,   2495.5,      83,           4.166,     2185,             2185.4,          8.9
  555,   2500.1,      82,           4.222,   2185.4,  2185.766666666667,          9.5
  556,   2504.3,      79,           4.204,   2185.8, 2186.1266666666666,          8.8
  557,   2508.3,      78,            4.17,   2186.2, 2186.4866666666667,            9
  558,   2512.5,      79,            4.21,   2186.5, 2186.8399999999997,          9.1
  559,   2516.7,      79,           4.254,   2186.9,  2187.186666666667,          8.5
  560,   2520.7,      80,           4.128,   2187.3, 2187.5333333333338,          8.9
  561,   2524.8,      79,             4.1,   2187.6,  2187.873333333334,          8.5
  562,   2529.3,      77,           4.196,     2188,  2188.206666666667,          7.8
  563,   2533.2,      77,           4.138,   2188.3, 2188.5400000000004,            8
  564,   2537.3,      76,            4.11,   2188.6, 2188.8666666666672,          7.8
  565,   2541.1,      73,           4.072,   2188.9, 2189.2000000000003,          7.9
  566,   2544.7,      72,           3.988,   2189.2,  2189.526666666667,          8.2
  567,   2548.4,      73,           3.828,   2189.5,  2189.853333333334,          8.1
  568,     2552,      75,           3.766,   2189.8, 2190.1866666666674,            8
  569,   2555.9,      75,           3.734,   2190.1,  2190.520000000001,          8.4
  570,   2559.7,      75,           3.736,   2190.4,  2190.853333333334,          8.2
  571,   2563.8,      78,            3.82,   2190.8,  2191.193333333334,          8.7
  572,   2567.9,      79,             3.9,   2191.1, 2191.5400000000004,          8.6
  573,     2572,      79,           3.994,   2191.5, 2191.8866666666668,          8.6
  574,   2576.1,      78,           4.024,   2191.8, 2192.2400000000002,          9.2
  575,   2580.1,      75,           4.068,   2192.2, 2192.5933333333337,          9.1
  576,   2584.2,      67,           4.076,   2192.6,  2192.953333333334,          9.3
