 time, distance, cadence, velocity_smooth, altitude,    altitude_smooth, grade_smooth
  237,   2169.2,     109,            9.22,    156.8, 158.31111111111113,          4.4
  238,     2179,     113,            9.38,    157.2, 158.47000000000003,          4.2
  239,     2189,     116,            9.62,    157.6, 158.61818181818182,          3.9
  240,   2199.6,     107,            9.92,      158, 158.75833333333335,          3.5
  241,   2210.4,     109,           10.18,    158.4, 158.89230769230772,          3.2
  242,   2221.6,     111,           10.48,    158.7, 159.02857142857147,          2.9
  243,     2233,     113,            10.8,      159, 159.16000000000003,          2.7
  244,   2247.2,     104,           11.64,    159.4, 159.46000000000004,          2.4
  245,   2259.2,     107,           11.92,    159.7, 159.74000000000007,          2.3
  246,   2271.2,     109,           12.16,    159.9, 160.01333333333338,          1.9
  247,   2281.3,     109,           11.94,    160.1,  160.2733333333334,          1.7
  248,   2293.7,      90,           12.14,    160.3, 160.51333333333338,          1.9
  249,   2305.9,      90,           11.74,    160.5, 160.74000000000007,          1.9
  250,   2317.9,      90,           11.74,    160.8, 160.95333333333338,            2
  251,   2329.6,      99,           11.68,      161, 161.15333333333336,          1.9
  252,   2343.2,      70,           12.38,    161.3, 161.35333333333338,            2
  253,   2352.1,      98,           11.68,    161.4, 161.55333333333337,          2.1
  254,   2362.8,     106,           11.38,    161.7,  161.7533333333334,          1.7
  255,   2373.3,      94,           11.08,    161.9, 161.96000000000004,          1.7
  256,   2383.4,      95,           10.76,      162, 162.16666666666669,          1.2
  257,   2393.8,      96,           10.12,    162.1,  162.3666666666667,          1.2
  258,   2404.5,      96,           10.48,    162.2,  162.5666666666667,          1.6
  259,   2415.4,     110,           10.52,    162.4,  162.7666666666667,          1.8
  260,   2426.6,     111,           10.66,    162.7, 162.97333333333336,            2
  261,     2438,     111,           10.92,    162.9, 163.17333333333335,          2.2
  262,   2449.6,     113,           11.16,    163.1, 163.37333333333336,            2
  263,   2461.1,     102,           11.32,    163.4,             163.58,            2
  264,   2472.7,     104,           11.46,    163.6, 163.80000000000004,            2
  265,     2484,     105,           11.48,    163.8, 164.02000000000004,          1.9
  266,   2495.7,     105,           11.54,      164, 164.24000000000004,          1.9
  267,   2507.6,     104,            11.6,    164.3, 164.46000000000004,          1.9
  268,   2519.6,     104,            11.7,    164.5,             164.68,          1.9
  269,   2531.2,     105,            11.7,    164.7,  164.9066666666667,          1.7
  270,   2542.9,     106,           11.78,    164.9, 165.13333333333335,          1.9
  271,     2555,     106,           11.86,    165.1,  165.3666666666667,          1.7
  272,   2567.1,     106,            11.9,    165.4, 165.60666666666668,          1.7
  273,   2579.1,     107,            11.9,    165.5,  165.8466666666667,          1.9
  274,   2591.2,     108,              12,    165.7, 166.07333333333332,          1.7
  275,   2603.1,     108,           12.04,      166, 166.31333333333333,          2.1
  276,   2615.1,     107,           12.02,    166.2, 166.57333333333332,          2.3
  277,   2627.1,     106,              12,    166.5, 166.85333333333332,          2.3
  278,   2639.5,     106,           12.08,    166.8,  167.1533333333333,          2.5
  279,   2651.6,     105,           12.08,    167.1, 167.46666666666664,          2.3
  280,   2663.6,     105,            12.1,    167.4,  167.8133333333333,          1.9
  281,   2675.7,     106,           12.12,    167.6, 168.17999999999995,          2.1
  282,   2687.7,     103,           12.12,    167.7, 168.55999999999995,          2.6
  283,   2699.4,     102,           11.98,    168.1, 168.95999999999995,          3.3
  284,   2710.6,      98,            11.8,    168.6, 169.37333333333328,          4.2
  285,   2721.8,     101,           11.64,    169.1,  169.7999999999999,          4.6
  286,   2732.5,     105,           11.36,    169.6,  170.2399999999999,            5
  287,     2743,     102,           11.06,    170.1, 170.69333333333321,          5.2
  288,     2753,     100,           10.72,    170.7, 171.16666666666654,          5.4
  289,   2762.3,      99,           10.34,    171.2, 171.65999999999988,          5.6
  290,   2771.5,      98,            9.94,    171.7, 172.15999999999988,          5.4
  291,   2780.7,      98,            9.64,    172.2, 172.65999999999988,          5.4
  292,     2790,      98,             9.4,    172.7, 173.15333333333322,          5.4
  293,     2799,      97,             9.2,    173.2, 173.64666666666656,          5.4
  294,   2808.3,     106,             9.2,    173.7,  174.1399999999999,          5.3
  295,   2817.7,     106,            9.24,    174.2, 174.61999999999992,          5.1
  296,   2827.4,     100,            9.34,    174.7, 175.09999999999994,          5.2
  297,     2836,     100,             9.2,    175.1, 175.57999999999996,          5.1
  298,   2844.7,     117,            9.14,    175.6, 176.06666666666663,          4.9
  299,   2854.7,     126,            9.28,    176.1, 176.54666666666665,          4.8
  300,   2864.4,     111,            9.34,    176.5, 177.02666666666667,          4.5
  301,   2875.7,     108,            9.66,      177,  177.5066666666667,          4.3
  302,   2886.6,     109,           10.12,    177.5, 177.98000000000005,          4.5
  303,   2896.5,     108,           10.36,    177.9,  178.4533333333334,          4.6
  304,   2906.7,     108,            10.4,    178.4, 178.93333333333342,          4.9
  305,   2917.4,     106,            10.6,    178.9, 179.40666666666675,            5
  306,   2927.7,     103,            10.4,    179.5, 179.87333333333342,          5.1
  307,   2936.6,     104,              10,    179.9,  180.3400000000001,          5.3
  308,   2945.7,     103,            9.84,    180.4, 180.80666666666676,          4.9
  309,   2955.3,     101,            9.72,    180.9, 181.27333333333343,          5.1
  310,   2964.3,     103,            9.38,    181.3, 181.74666666666675,          5.1
  311,   2973.8,     106,            9.22,    181.8, 182.22000000000008,          4.9
  312,   2983.2,     101,            9.32,    182.3,  182.6933333333334,          4.9
  313,   2992.4,      99,            9.34,    182.7, 183.16000000000005,          4.7
  314,   3001.4,      99,            9.22,    183.1, 183.61333333333337,          4.8
  315,   3010.2,      97,            9.18,    183.5, 184.03333333333336,          5.2
  316,   3018.9,     103,            9.02,      184,  184.4266666666667,          5.6
  317,   3027.1,     102,            8.78,    184.5, 184.81333333333336,          6.1
  318,   3035.2,     103,            8.56,      185, 185.19333333333333,          6.2
  319,   3043.2,     102,            8.36,    185.5, 185.56666666666666,          6.3
  320,   3051.2,     101,             8.2,      186,  185.9466666666667,          5.4
  321,   3059.1,      99,            8.04,    186.5,  186.3266666666667,          3.8
  322,   3066.8,     101,            7.94,    186.7, 186.70666666666668,          2.5
  323,   3074.6,     101,            7.88,    186.7, 187.08666666666667,          1.9
  324,   3082.6,     101,            7.88,    186.8,             187.46,          2.5
