 time, distance, cadence, velocity_smooth, altitude,    altitude_smooth, grade_smooth
   28,    223.7,      98,            9.34,     82.6,  84.63333333333333,          5.2
   29,    233.7,      97,            9.56,     83.2,  84.85999999999999,          5.1
   30,    243.5,      89,            9.62,     83.7,  85.09090909090908,          5.4
   31,    253.1,      88,            9.66,     84.2,  85.32499999999999,          5.2
   32,    262.7,      88,             9.7,     84.7,  85.56153846153846,          5.1
   33,      272,      88,            9.66,     85.2,  85.79285714285713,            5
   34,    280.6,      88,            9.38,     85.6,              86.02,          5.2
   35,      289,      87,             9.1,       86,  86.48666666666666,            5
   36,    297.6,      88,             8.9,     86.5,              86.94,          5.2
   37,    306.2,      84,             8.7,     86.9,  87.39333333333333,          5.4
   38,    315.1,      79,            8.62,     87.4,  87.83999999999999,          5.3
   39,    324.1,      79,             8.7,     87.9,  88.28666666666666,          5.3
   40,    333.2,      78,            8.84,     88.4,  88.72666666666666,            5
   41,      342,      79,            8.88,     88.8,  89.17333333333333,          4.7
   42,      351,      82,            8.96,     89.2,  89.62666666666665,          4.5
   43,    359.9,      93,            8.96,     89.6,  90.07333333333332,          4.8
   44,    368.6,      91,             8.9,       90,  90.52666666666666,          4.7
   45,    377.6,      89,            8.88,     90.5,  90.97999999999999,          4.9
   46,      387,      89,               9,     90.9,  91.43333333333332,          4.8
   47,    396.6,      89,            9.12,     91.4,  91.88666666666664,          4.8
   48,    406.1,      88,            9.24,     91.8,  92.33999999999997,          5.1
   49,    415.4,      87,            9.36,     92.3,  92.79999999999997,          4.9
   50,    424.4,      87,            9.36,     92.8,  93.25333333333332,          5.3
   51,    433.3,      87,            9.26,     93.2,  93.70666666666665,          5.4
   52,      442,      87,            9.08,     93.7,  94.15333333333332,          5.4
   53,    450.8,      87,            8.94,     94.2,   94.5933333333333,          5.7
   54,    459.7,      87,            8.86,     94.7,  95.02666666666664,          5.4
   55,    468.4,      92,             8.8,     95.2,  95.45999999999998,          5.5
   56,    476.9,      95,            8.72,     95.6,  95.88666666666664,          4.9
   57,    485.6,      94,            8.72,     96.1,  96.30666666666664,          4.6
   58,    494.5,      93,            8.74,     96.4,  96.72666666666665,          4.5
   59,    503.5,      93,            8.76,     96.8,   97.1333333333333,          3.9
   60,    512.5,      93,            8.82,     97.2,   97.5333333333333,          4.2
   61,    521.5,      87,            8.92,     97.5,  97.91999999999997,          4.2
   62,    530.4,      85,            8.96,     97.9,   98.2933333333333,          4.1
