 time, distance, cadence, velocity_smooth, altitude,    altitude_smooth, grade_smooth
   68,    415.7,       0,           6.894,      4.6,   4.71111111111111,         -0.8
   69,    422.7,       0,           6.854,      4.6,  4.719999999999999,            0
   70,    428.8,       0,            6.69,      4.6,  4.727272727272726,          0.8
   71,      435,       0,           6.556,      4.6,  4.733333333333332,          0.8
   72,    441.3,       0,           6.438,      4.8,  4.738461538461537,          0.8
   73,    447.5,       7,           6.346,      4.8,  4.728571428571427,          0.8
   74,    454.1,      44,           6.272,      4.8,  4.719999999999998,            0
   75,    460.7,      44,           6.378,      4.8,  4.719999999999998,            0
   76,    467.6,      44,           6.512,      4.8,  4.706666666666665,            0
   77,    474.1,      18,           6.556,      4.8, 4.6933333333333325,            0
   78,    480.4,      18,           6.578,      4.8,  4.680000000000001,            0
   79,      488,      18,           6.782,      4.8,  4.653333333333334,         -0.7
   80,      495,       0,           6.854,      4.8,  4.626666666666668,         -0.7
   81,    501.5,       0,           6.784,      4.6,  4.600000000000002,         -0.8
   82,    508.2,       0,           6.826,      4.6,  4.573333333333336,         -1.6
   83,    514.3,      10,           6.786,      4.6,  4.533333333333336,         -0.8
   84,    520.7,      64,            6.54,      4.4,  4.493333333333337,         -0.8
   85,    526.9,      85,           6.382,      4.4,   4.42666666666667,         -0.8
   86,    533.2,      70,           6.346,      4.4,  4.360000000000003,            0
   87,    539.9,      70,           6.342,      4.4, 4.2933333333333366,            0
   88,    546.9,      70,            6.52,      4.4,  4.240000000000003,            0
   89,    553.8,       0,           6.628,      4.4,  4.186666666666669,         -0.7
   90,      561,       0,           6.826,      4.4, 4.1333333333333355,         -0.7
   91,    568.1,       0,           6.964,      4.2, 4.0933333333333355,         -2.2
   92,    574.8,       0,            6.98,      4.2,  4.040000000000003,         -2.2
   93,    581.7,       0,           6.956,      3.8, 3.9866666666666695,         -1.4
   94,    588.8,       0,           7.008,      3.8, 3.9333333333333362,         -1.4
   95,    595.7,       7,           6.926,      3.8,  3.880000000000003,            0
   96,    602.4,       7,           6.872,      3.8, 3.8266666666666698,            0
   97,    608.8,       7,           6.808,      3.8, 3.7733333333333365,            0
   98,    615.3,      25,            6.73,      3.8, 3.7333333333333365,         -0.8
   99,    621.3,      33,           6.498,      3.8, 3.7200000000000033,         -0.8
  100,    627.6,      33,           6.398,      3.6, 3.7333333333333365,         -0.8
  101,      634,      65,           6.318,      3.6,  3.760000000000004,         -0.8
  102,    640.2,      68,           6.272,      3.6, 3.7866666666666706,            0
  103,    646.5,      76,           6.242,      3.6, 3.8266666666666707,            0
  104,    653.4,      85,            6.41,      3.6,  3.866666666666671,            0
  105,      660,      88,           6.466,      3.6,  3.906666666666671,          1.5
  106,    666.4,      89,            6.48,      3.6,  3.946666666666671,          1.6
  107,    672.5,      85,           6.466,        4,  4.013333333333338,          2.3
  108,    678.7,      86,           6.444,        4, 4.0800000000000045,          2.2
  109,      686,      87,           6.512,      4.2,  4.146666666666671,          1.4
  110,    693.1,      83,           6.632,      4.2,  4.226666666666671,          1.3
  111,    700.8,      83,           6.884,      4.4,  4.306666666666671,          0.7
  112,      709,      83,            7.29,      4.4,  4.400000000000004,          0.7
  113,    716.2,      24,           7.488,      4.4,  4.493333333333338,          0.7
  114,    722.8,      42,           7.374,      4.4,  4.560000000000004,          0.7
  115,    729.8,      72,           7.336,      4.6, 4.6266666666666705,          0.7
  116,    737.7,      72,           7.378,      4.6,  4.693333333333338,          1.3
  117,    746.2,       0,            7.45,      4.6,  4.760000000000004,          0.7
  118,    753.5,       0,           7.464,      4.8,  4.813333333333337,          1.3
  119,    760.3,       0,            7.49,      4.8,  4.866666666666671,          1.4
  120,    767.6,       0,           7.552,        5, 4.9200000000000035,          0.7
  121,    774.7,      17,           7.404,        5,  4.973333333333337,          0.7
  122,    782.2,      75,             7.2,        5,  5.013333333333337,          0.7
  123,    789.2,      78,           7.134,        5,  5.053333333333338,          0.7
  124,    796.3,      78,           7.202,      5.2,  5.093333333333338,          0.7
  125,    803.4,      80,           7.172,      5.2,  5.120000000000005,          0.7
  126,      811,      81,           7.256,      5.2,  5.146666666666673,            0
  127,    817.8,      79,           7.112,      5.2,  5.160000000000006,            0
  128,    824.8,      67,           7.118,      5.2,  5.186666666666673,            0
  129,      832,      66,           7.152,      5.2,   5.21333333333334,            0
  130,    839.8,      73,           7.264,      5.2,   5.25333333333334,            0
  131,    847.8,      74,           7.348,      5.2,  5.280000000000006,            0
  132,    856.1,      73,           7.652,      5.2,  5.306666666666672,            0
  133,    864.3,      73,             7.9,      5.2,  5.333333333333338,            0
  134,    871.9,      73,           7.964,      5.2,  5.360000000000004,          0.7
  135,    879.1,      73,           7.862,      5.2,   5.38666666666667,          0.7
  136,    886.4,      73,           7.726,      5.4,  5.413333333333337,          1.4
  137,    893.7,      73,           7.532,      5.4,  5.440000000000002,          1.4
  138,    900.9,      65,           7.326,      5.6,  5.466666666666669,          0.7
  139,    907.7,      65,           7.176,      5.6,  5.493333333333335,          0.7
  140,    914.6,      33,           7.114,      5.6, 5.5200000000000005,            0
  141,    921.9,      45,           7.096,      5.6,  5.546666666666667,            0
  142,    929.4,      73,           7.142,      5.6,  5.573333333333333,            0
  143,    937.3,      71,           7.276,      5.6,  5.586666666666665,            0
  144,    944.3,      72,           7.304,      5.6,  5.586666666666665,            0
  145,    951.2,      72,            7.31,      5.6,  5.573333333333333,            0
  146,    957.6,      72,            7.15,      5.6, 5.5600000000000005,            0
  147,    964.7,       0,           7.056,      5.6,  5.546666666666668,            0
  148,    972.8,       0,           7.096,      5.6,  5.520000000000001,            0
  149,    979.5,      13,           7.044,      5.6,  5.493333333333336,            0
  150,    986.1,      13,           6.976,      5.6, 5.4666666666666694,         -0.7
  151,    993.6,      41,           7.198,      5.6,  5.440000000000003,         -0.7
  152,   1001.1,      41,           7.276,      5.4, 5.4133333333333375,         -0.7
  153,     1009,      41,           7.244,      5.4,  5.386666666666671,         -0.7
  154,   1016.4,      31,            7.38,      5.4,  5.360000000000005,         -0.7
  155,     1024,      72,           7.592,      5.4,  5.320000000000006,         -0.7
  156,   1031.3,      71,           7.548,      5.2,  5.280000000000006,         -0.7
  157,   1038.7,      71,           7.514,      5.2,  5.240000000000006,         -0.7
  158,     1046,      71,            7.41,      5.2,  5.200000000000006,            0
  159,   1052.4,       0,           7.212,      5.2,   5.17333333333334,            0
  160,   1058.5,       0,           6.888,      5.2,  5.146666666666673,            0
  161,   1064.9,       0,           6.704,      5.2,  5.106666666666672,         -0.9
  162,   1069.8,       0,            6.22,      5.2,  5.066666666666672,         -0.9
  163,   1075.4,       9,           5.876,        5,  5.053333333333338,         -0.9
  164,   1080.9,      39,           5.696,        5, 5.0400000000000045,         -0.9
  165,   1086.6,      39,            5.63,        5,  5.026666666666671,            0
  166,   1093.3,      39,            5.68,        5,  5.013333333333337,            0
  167,   1100.4,      72,           6.136,        5, 5.0000000000000036,         -0.7
  168,   1108.5,      77,           6.626,        5,   4.98666666666667,         -0.6
  169,   1116.9,      79,           7.196,      4.8,   4.98666666666667,            0
  170,   1125.8,      79,           7.832,      4.8, 5.0000000000000036,            0
  171,   1134.1,      50,           8.162,        5,  5.026666666666671,          0.6
  172,   1142.8,      84,           8.462,        5,  5.053333333333338,          0.6
  173,   1151.5,      86,           8.594,        5, 5.0800000000000045,            0
  174,   1160.6,      86,            8.73,        5, 5.1200000000000045,            0
  175,   1169.6,      84,            8.76,        5,  5.160000000000005,          0.6
  176,   1178.2,      78,           8.826,        5,  5.213333333333337,          0.6
  177,   1186.7,      71,           8.782,      5.2,   5.26666666666667,          1.2
  178,   1194.7,      71,           8.636,      5.2,  5.293333333333337,          1.2
  179,   1202.3,      71,           8.346,      5.4, 5.3333333333333375,          0.6
  180,   1210.7,       0,           8.234,      5.4,  5.360000000000004,          1.2
  181,   1219.1,       0,           8.182,      5.4,  5.386666666666671,          0.6
  182,   1227.3,       0,           8.134,      5.6,  5.413333333333338,          0.6
  183,   1235.1,       0,           8.082,      5.6,  5.440000000000006,          0.6
  184,   1243.6,       0,           8.268,      5.6, 5.4533333333333385,         -0.6
  185,   1251.4,       0,           8.138,      5.6,  5.466666666666672,            0
  186,   1259.1,       0,           7.998,      5.4, 5.4533333333333385,         -0.6
  187,   1266.7,       0,           7.874,      5.6,  5.440000000000006,         -0.6
  188,   1274.7,       0,           7.918,      5.4,  5.426666666666672,            0
  189,   1282.9,       5,           7.848,      5.4,  5.400000000000006,         -0.6
  190,   1290.8,      42,           7.876,      5.4,  5.386666666666673,            0
  191,   1299.2,      76,           8.012,      5.4,   5.37333333333334,            0
  192,   1307.4,      79,           8.134,      5.4,  5.360000000000008,         -0.6
  193,   1315.6,      79,           8.184,      5.4,  5.360000000000008,         -0.6
  194,   1323.5,      75,           8.132,      5.2,  5.360000000000008,         -0.6
  195,   1331.5,      74,           8.138,      5.2,   5.37333333333334,         -0.6
  196,   1339.5,      75,           8.072,      5.2,  5.400000000000007,          0.6
  197,   1347.3,      75,           7.982,      5.2,  5.426666666666673,          0.6
  198,   1354.6,      75,             7.8,      5.4, 5.4533333333333385,          0.7
  199,   1362.5,      75,           7.794,      5.4,  5.480000000000005,          0.7
  200,   1370.1,      75,           7.726,      5.4,  5.506666666666671,          0.6
  201,   1377.8,       0,           7.658,      5.4,  5.560000000000004,          0.6
  202,   1386.1,       0,           7.772,      5.6,  5.613333333333338,          1.3
  203,   1394.3,       0,            7.95,      5.6, 5.6666666666666705,          1.3
  204,   1401.5,       0,            7.81,      5.8,  5.733333333333337,          0.7
  205,   1408.1,       0,             7.6,      5.8,  5.786666666666671,          0.7
  206,   1415.1,       8,           7.464,      5.8,  5.840000000000003,            0
  207,     1424,      43,           7.568,      5.8,  5.893333333333336,          0.6
  208,   1432.5,      80,           7.638,      5.8,   5.94666666666667,          0.6
  209,     1441,      85,           7.898,        6,   5.98666666666667,          0.6
  210,   1450.3,      87,            8.44,        6,  6.026666666666671,          1.1
  211,   1458.8,      88,           8.738,        6,  6.053333333333338,          0.6
  212,   1468.4,      88,            8.89,      6.2, 6.0800000000000045,          0.6
  213,   1476.8,      81,           8.842,      6.2,  6.106666666666672,          0.6
  214,   1486.3,      82,            9.05,      6.2,  6.133333333333339,            0
  215,   1494.8,      82,            8.89,      6.2,  6.160000000000006,            0
  216,   1503.1,      71,           8.862,      6.2,   6.17333333333334,            0
  217,   1511.9,      71,           8.698,      6.2,  6.186666666666673,            0
  218,     1521,      71,           8.856,      6.2,  6.200000000000006,            0
  219,   1530.2,       0,           8.774,      6.2,  6.186666666666673,            0
  220,   1540.4,       0,            9.13,      6.2,   6.17333333333334,            0
  221,   1548.4,       0,           9.062,      6.2,  6.160000000000006,            0
  222,   1556.4,       0,           8.892,      6.2,  6.146666666666673,            0
  223,   1564.3,       0,           8.662,      6.2,  6.133333333333339,            0
  224,   1572.2,       0,           8.412,      6.2,  6.120000000000005,            0
  225,   1580.5,       0,            8.02,      6.2,  6.106666666666672,         -0.6
  226,   1588.6,       0,           8.032,      6.2,  6.093333333333338,         -0.6
  227,   1596.2,       6,           7.962,        6, 6.0800000000000045,         -0.6
  228,     1604,      53,            7.93,        6,  6.066666666666672,         -0.6
  229,   1611.8,      53,           7.924,        6,  6.053333333333338,            0
